@RELATION german-credit

@ATTRIBUTE feature_01 {A, B, C, D}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 {A, B, C, D, E}
@ATTRIBUTE feature_04 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B, C, D}
@ATTRIBUTE feature_13 REAL
@ATTRIBUTE feature_14 {A, B, C}
@ATTRIBUTE feature_15 {A, B, C}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 {A, B}
@ATTRIBUTE feature_20 {A, B}
@ATTRIBUTE class {A, B}

@DATA
D,9.0,D,G,1478.0,C,B,4.0,D,C,2.0,A,22.0,B,B,1.0,B,1.0,A,B,A
B,24.0,D,D,3149.0,C,C,4.0,D,C,1.0,C,22.0,A,A,1.0,B,1.0,A,B,B
C,36.0,D,G,4210.0,C,A,4.0,D,C,2.0,A,26.0,B,B,1.0,B,1.0,A,B,A
D,9.0,D,E,2507.0,B,D,2.0,D,C,4.0,C,51.0,B,A,1.0,D,1.0,A,B,B
D,12.0,D,G,2141.0,A,B,3.0,D,C,1.0,C,35.0,B,B,1.0,B,1.0,A,B,B
A,18.0,D,G,866.0,C,A,4.0,C,B,2.0,D,25.0,B,B,1.0,D,1.0,A,B,B
D,4.0,B,G,1544.0,C,B,2.0,D,C,1.0,D,42.0,B,B,3.0,D,2.0,A,B,B
B,24.0,D,G,1823.0,C,E,4.0,D,C,2.0,A,30.0,C,B,1.0,A,2.0,A,B,A
A,6.0,D,E,14555.0,E,E,1.0,D,C,2.0,B,23.0,B,B,1.0,C,1.0,B,B,A
A,21.0,D,A,2767.0,A,D,4.0,B,C,2.0,A,61.0,A,C,2.0,D,1.0,A,B,A
D,12.0,B,G,1291.0,C,A,4.0,A,C,2.0,B,35.0,B,B,2.0,B,1.0,A,B,B
B,30.0,D,G,2522.0,C,D,1.0,D,B,3.0,B,39.0,B,B,1.0,B,2.0,A,B,B
B,24.0,D,E,915.0,E,D,4.0,A,C,2.0,A,29.0,A,B,1.0,B,1.0,A,B,A
D,6.0,D,G,1595.0,C,B,3.0,D,C,2.0,B,51.0,B,B,1.0,B,2.0,A,B,B
B,48.0,E,J,4605.0,C,D,3.0,D,C,4.0,C,24.0,B,A,2.0,B,2.0,A,B,A
D,12.0,B,A,1185.0,C,A,3.0,A,C,2.0,D,27.0,B,B,2.0,B,1.0,A,B,B
D,12.0,A,I,3447.0,B,A,4.0,A,C,3.0,D,35.0,B,B,1.0,D,2.0,A,B,B
D,24.0,D,A,1258.0,C,B,4.0,D,C,1.0,D,25.0,B,B,1.0,B,1.0,B,B,B
D,12.0,B,G,717.0,C,D,4.0,D,C,4.0,D,52.0,B,B,3.0,B,1.0,A,B,B
D,6.0,E,E,1204.0,A,A,4.0,D,C,1.0,C,35.0,A,C,1.0,B,1.0,A,A,B
C,24.0,D,D,1925.0,C,A,2.0,D,C,2.0,D,26.0,B,B,1.0,B,1.0,A,B,B
D,18.0,D,G,433.0,C,E,3.0,A,A,4.0,D,22.0,B,C,1.0,B,1.0,A,B,A
B,6.0,B,E,666.0,D,B,3.0,A,C,4.0,D,39.0,B,B,2.0,D,1.0,B,B,B
C,12.0,D,D,2251.0,C,A,1.0,A,C,2.0,A,46.0,B,B,1.0,D,1.0,A,B,B
A,30.0,D,E,2150.0,C,A,4.0,A,B,2.0,C,24.0,A,B,1.0,B,1.0,A,B,A
D,24.0,C,D,4151.0,A,A,2.0,D,C,3.0,B,35.0,B,B,2.0,B,1.0,A,B,B
A,9.0,D,D,2030.0,E,B,2.0,D,C,1.0,A,24.0,B,B,1.0,B,1.0,B,B,B
A,60.0,C,G,7418.0,E,A,1.0,D,C,1.0,D,27.0,B,B,1.0,D,1.0,A,B,B
D,24.0,B,G,2684.0,C,A,4.0,D,C,2.0,D,35.0,B,B,2.0,D,1.0,A,B,B
B,12.0,A,G,2149.0,C,A,4.0,B,C,1.0,C,29.0,B,A,1.0,B,1.0,A,B,A
D,15.0,D,J,3812.0,A,C,1.0,A,C,4.0,A,23.0,B,B,1.0,B,1.0,B,B,B
D,11.0,B,G,1154.0,A,E,4.0,A,C,4.0,D,57.0,B,B,3.0,D,1.0,A,B,B
B,12.0,D,D,1657.0,C,A,2.0,D,C,2.0,D,27.0,B,B,1.0,B,1.0,A,B,B
B,24.0,D,G,1603.0,C,D,4.0,A,C,4.0,A,55.0,B,B,1.0,B,1.0,A,B,B
B,18.0,B,E,5302.0,C,D,2.0,D,C,4.0,C,36.0,B,A,3.0,A,1.0,B,B,B
D,12.0,B,C,2748.0,C,D,2.0,A,C,4.0,C,57.0,A,A,3.0,D,1.0,A,B,B
D,10.0,B,E,1231.0,C,D,3.0,D,C,4.0,D,32.0,B,B,2.0,D,2.0,A,A,B
A,15.0,D,G,802.0,C,D,4.0,D,C,3.0,A,37.0,B,B,1.0,B,2.0,A,B,A
D,36.0,B,A,6304.0,E,D,4.0,D,C,4.0,D,36.0,B,B,2.0,B,1.0,A,B,B
D,24.0,D,G,1533.0,C,C,4.0,A,C,3.0,A,38.0,C,B,1.0,B,1.0,B,B,B
B,14.0,D,E,8978.0,C,D,1.0,B,C,4.0,B,45.0,B,B,1.0,A,1.0,B,A,A
D,24.0,D,G,999.0,E,D,4.0,D,C,2.0,A,25.0,B,B,2.0,B,1.0,A,B,B
D,18.0,D,E,2662.0,E,B,4.0,D,C,3.0,B,32.0,B,B,1.0,B,1.0,A,A,B
D,12.0,B,D,1402.0,B,B,3.0,A,C,4.0,A,37.0,B,C,1.0,B,1.0,B,B,B
A,48.0,A,E,12169.0,E,E,4.0,D,A,4.0,C,36.0,B,A,1.0,A,1.0,B,B,B
A,48.0,D,G,3060.0,C,B,4.0,D,C,4.0,D,28.0,B,B,2.0,B,1.0,A,B,A
B,30.0,D,H,11998.0,C,C,1.0,B,C,1.0,C,34.0,B,B,1.0,D,1.0,B,B,A
D,9.0,D,G,2697.0,C,A,1.0,D,C,2.0,D,32.0,B,B,1.0,B,2.0,A,B,B
D,18.0,B,G,2404.0,C,A,2.0,A,C,2.0,A,26.0,B,B,2.0,B,1.0,A,B,B
B,12.0,D,D,1262.0,E,D,2.0,B,C,4.0,B,49.0,B,B,1.0,D,1.0,B,B,B
D,6.0,D,D,4611.0,C,C,1.0,A,C,4.0,B,32.0,B,B,1.0,B,1.0,A,B,A
D,24.0,D,G,1901.0,A,A,4.0,D,C,4.0,A,29.0,B,C,1.0,A,1.0,B,B,B
D,15.0,B,J,3368.0,D,D,3.0,D,C,4.0,C,23.0,B,C,2.0,B,1.0,B,B,B
D,12.0,D,D,1574.0,C,A,4.0,D,C,2.0,D,50.0,B,B,1.0,B,1.0,A,B,B
C,18.0,A,G,1445.0,E,B,4.0,D,C,4.0,A,49.0,A,B,1.0,D,1.0,A,B,B
D,15.0,B,D,1520.0,E,D,4.0,D,C,4.0,B,63.0,B,B,1.0,B,1.0,A,B,B
A,24.0,B,E,3878.0,A,C,4.0,B,C,2.0,A,37.0,B,B,1.0,B,1.0,B,B,B
B,47.0,D,E,10722.0,C,C,1.0,A,C,1.0,D,35.0,B,B,1.0,D,1.0,B,B,B
B,48.0,D,J,4788.0,C,B,4.0,D,C,3.0,B,26.0,B,B,1.0,B,2.0,A,B,B
A,48.0,C,F,7582.0,A,E,2.0,D,C,4.0,C,31.0,B,A,1.0,A,1.0,B,B,B
A,12.0,D,G,1092.0,C,A,4.0,A,B,4.0,D,49.0,B,B,2.0,B,1.0,B,B,B
B,24.0,C,G,1024.0,C,C,4.0,C,C,4.0,D,48.0,C,B,1.0,B,1.0,A,B,A
D,12.0,D,A,1076.0,C,A,2.0,C,C,2.0,D,26.0,B,B,1.0,B,1.0,B,A,B
A,36.0,D,J,9398.0,C,C,1.0,C,C,4.0,A,28.0,B,C,1.0,A,1.0,B,B,A
B,24.0,B,J,6419.0,C,D,2.0,A,C,4.0,C,44.0,B,A,2.0,A,2.0,B,B,B
C,42.0,B,J,4796.0,C,D,4.0,D,C,4.0,C,56.0,B,A,1.0,B,1.0,A,B,B
D,48.0,B,A,7629.0,E,D,4.0,B,C,2.0,A,46.0,A,B,2.0,A,2.0,A,B,B
A,48.0,D,D,9960.0,C,C,1.0,A,C,2.0,A,26.0,B,B,1.0,B,1.0,B,B,A
D,12.0,D,J,4675.0,E,C,1.0,A,C,4.0,A,20.0,B,C,1.0,B,1.0,A,B,B
D,10.0,D,E,1287.0,E,D,4.0,D,A,2.0,B,45.0,B,B,1.0,D,1.0,A,A,B
D,18.0,D,D,2515.0,C,A,3.0,D,C,4.0,D,43.0,B,B,1.0,B,1.0,B,B,B
A,21.0,B,D,2745.0,D,B,3.0,D,C,2.0,A,32.0,B,B,2.0,B,1.0,B,B,B
D,6.0,D,E,672.0,C,E,1.0,A,C,4.0,D,54.0,B,B,1.0,C,1.0,B,B,B
A,36.0,E,G,3804.0,C,A,4.0,A,C,1.0,A,42.0,B,B,1.0,B,1.0,B,B,A
C,24.0,B,E,1344.0,E,B,4.0,D,C,2.0,D,37.0,A,B,2.0,D,2.0,A,B,A
B,10.0,B,E,1038.0,C,B,4.0,D,A,3.0,B,49.0,B,B,2.0,B,1.0,B,B,B
D,48.0,B,E,10127.0,B,A,2.0,D,C,2.0,C,44.0,A,A,1.0,B,1.0,A,B,A
D,6.0,D,D,1543.0,D,A,4.0,B,C,2.0,D,33.0,B,B,1.0,B,1.0,A,B,B
D,30.0,D,J,4811.0,E,B,2.0,A,C,4.0,B,24.0,C,C,1.0,D,1.0,A,B,B
B,12.0,D,G,727.0,A,C,4.0,C,C,3.0,C,33.0,B,B,1.0,D,1.0,B,B,A
A,8.0,D,D,1237.0,C,A,3.0,A,C,4.0,D,24.0,B,B,1.0,B,1.0,A,B,A
A,9.0,D,E,276.0,C,A,4.0,C,C,4.0,D,22.0,B,C,1.0,D,1.0,A,B,B
A,48.0,D,F,5381.0,E,E,3.0,D,C,4.0,C,40.0,A,A,1.0,C,1.0,B,B,B
D,24.0,D,D,5511.0,A,A,4.0,D,C,1.0,A,25.0,C,B,1.0,B,1.0,A,B,B
C,24.0,D,D,3749.0,C,C,2.0,A,C,4.0,A,26.0,B,B,1.0,B,1.0,A,B,B
A,12.0,D,E,685.0,C,B,2.0,C,C,3.0,A,25.0,A,B,1.0,D,1.0,A,B,A
C,4.0,D,E,1494.0,E,C,1.0,D,C,2.0,D,29.0,B,B,1.0,D,2.0,A,A,B
B,36.0,A,D,2746.0,C,D,4.0,D,C,4.0,A,31.0,A,B,1.0,B,1.0,A,B,A
B,12.0,D,D,708.0,C,A,2.0,D,B,3.0,B,38.0,B,B,1.0,D,2.0,A,B,B
A,24.0,D,D,4351.0,E,A,1.0,A,C,4.0,B,48.0,B,B,1.0,D,1.0,B,B,B
D,12.0,B,C,701.0,C,A,4.0,D,C,2.0,A,32.0,B,B,2.0,B,1.0,A,B,B
B,15.0,C,D,3643.0,C,D,1.0,A,C,4.0,B,27.0,B,B,2.0,D,1.0,A,B,B
A,30.0,B,E,4249.0,C,E,4.0,C,C,2.0,A,28.0,B,B,2.0,A,1.0,A,B,A
B,24.0,D,G,1938.0,C,C,4.0,B,C,3.0,B,32.0,B,B,1.0,B,1.0,A,B,A
B,24.0,D,J,2910.0,C,B,2.0,D,C,1.0,C,34.0,B,A,1.0,A,1.0,B,B,B
B,18.0,D,D,2659.0,D,A,4.0,D,C,2.0,A,28.0,B,B,1.0,B,1.0,A,B,B
D,18.0,B,E,1028.0,C,A,4.0,A,C,3.0,D,36.0,B,B,2.0,B,1.0,A,B,B
B,8.0,B,E,3398.0,C,B,1.0,D,C,4.0,D,39.0,B,B,2.0,D,1.0,A,A,B
D,12.0,B,D,5801.0,E,D,2.0,D,C,4.0,B,49.0,B,C,1.0,B,1.0,B,B,B
D,24.0,D,E,1525.0,D,B,4.0,A,C,3.0,A,34.0,B,B,1.0,B,2.0,B,B,B
C,36.0,D,G,4473.0,C,D,4.0,D,C,2.0,A,31.0,B,B,1.0,B,1.0,A,B,B
A,6.0,D,G,1068.0,C,D,4.0,D,C,4.0,A,28.0,B,B,1.0,B,2.0,A,B,B
B,24.0,B,J,6615.0,C,E,2.0,D,C,4.0,C,75.0,B,A,2.0,A,1.0,B,B,B
D,18.0,B,C,1864.0,A,A,4.0,A,C,2.0,D,30.0,B,B,2.0,B,1.0,A,B,A
A,60.0,D,E,7408.0,A,C,4.0,A,C,2.0,B,24.0,B,B,1.0,A,1.0,A,B,A
D,48.0,B,J,11590.0,A,A,2.0,A,C,4.0,A,24.0,A,C,2.0,D,1.0,A,B,A
B,24.0,E,D,4110.0,C,D,3.0,D,C,4.0,C,23.0,A,C,2.0,B,2.0,A,B,A
B,6.0,B,D,3384.0,C,A,1.0,B,C,4.0,D,44.0,B,C,1.0,A,1.0,B,B,A
A,13.0,D,G,2101.0,C,C,2.0,A,B,4.0,B,23.0,B,B,1.0,D,1.0,A,B,B
B,15.0,D,B,1275.0,E,A,4.0,A,C,2.0,A,24.0,B,C,1.0,B,1.0,A,B,A
B,24.0,D,D,4169.0,C,A,4.0,D,C,4.0,B,28.0,B,B,1.0,B,1.0,A,B,B
A,10.0,D,D,1521.0,C,A,4.0,B,C,2.0,A,31.0,B,B,1.0,D,1.0,A,B,B
A,24.0,B,C,5743.0,C,C,2.0,A,C,4.0,C,24.0,B,A,2.0,B,1.0,B,B,B
B,21.0,D,D,3599.0,C,B,1.0,A,C,4.0,A,26.0,B,C,1.0,D,1.0,A,B,B
A,18.0,D,G,3213.0,B,C,1.0,C,C,3.0,D,25.0,B,C,1.0,B,1.0,A,B,B
A,18.0,D,A,4439.0,C,D,1.0,D,A,1.0,D,33.0,A,B,1.0,A,1.0,B,B,B
C,10.0,D,E,3949.0,C,C,1.0,D,B,1.0,B,37.0,B,B,1.0,D,2.0,A,B,B
D,15.0,B,G,1459.0,C,A,4.0,A,C,2.0,A,43.0,B,B,1.0,D,1.0,A,B,B
A,13.0,B,G,882.0,C,C,4.0,D,B,4.0,D,23.0,B,B,2.0,B,1.0,A,B,B
A,24.0,D,G,3758.0,B,E,1.0,A,C,4.0,C,23.0,B,C,1.0,C,1.0,A,B,B
D,6.0,C,A,1743.0,A,A,1.0,D,C,2.0,D,34.0,B,B,2.0,D,1.0,A,B,B
A,9.0,B,C,1136.0,D,D,4.0,D,C,3.0,C,32.0,B,A,2.0,B,2.0,A,B,A
D,9.0,D,B,1236.0,C,C,1.0,A,C,4.0,D,23.0,B,C,1.0,B,1.0,B,B,B
A,9.0,D,D,959.0,C,A,1.0,A,C,2.0,A,29.0,B,B,1.0,B,1.0,A,A,A
D,18.0,B,J,3229.0,E,E,2.0,D,C,4.0,C,38.0,B,B,1.0,A,1.0,B,B,B
B,12.0,E,G,6199.0,C,A,4.0,D,C,2.0,B,28.0,B,C,2.0,B,1.0,B,B,A
D,10.0,D,C,727.0,B,D,4.0,D,C,4.0,C,46.0,B,A,1.0,B,1.0,B,B,B
A,24.0,D,E,1246.0,C,C,4.0,D,C,2.0,D,23.0,C,B,1.0,D,1.0,A,B,A
D,12.0,B,G,2331.0,E,D,1.0,D,A,4.0,D,49.0,B,B,1.0,B,1.0,B,B,B
D,36.0,C,G,4463.0,C,A,4.0,D,C,2.0,A,26.0,B,B,2.0,A,1.0,B,B,A
D,12.0,D,G,776.0,C,A,4.0,C,C,2.0,D,28.0,B,B,1.0,B,1.0,A,B,B
B,30.0,D,D,2406.0,C,B,4.0,A,C,4.0,D,23.0,B,C,1.0,B,1.0,A,B,A
A,18.0,D,C,1239.0,E,A,4.0,D,C,4.0,C,61.0,B,A,1.0,B,1.0,A,B,B
C,12.0,D,G,3399.0,E,D,2.0,D,C,3.0,A,37.0,B,B,1.0,A,1.0,A,B,B
C,12.0,C,E,2247.0,C,A,2.0,A,C,2.0,A,36.0,C,B,2.0,B,1.0,B,B,B
D,6.0,D,D,1766.0,C,A,1.0,C,C,2.0,B,21.0,B,C,1.0,B,1.0,A,B,B
B,18.0,D,D,2473.0,C,E,4.0,D,C,1.0,A,25.0,B,B,1.0,C,1.0,A,B,A
D,12.0,D,A,1542.0,C,B,2.0,D,C,4.0,A,36.0,B,B,1.0,B,1.0,B,B,B
D,18.0,B,J,3850.0,C,B,3.0,D,C,1.0,A,27.0,B,B,2.0,B,1.0,A,B,B
B,18.0,D,D,3650.0,C,C,1.0,A,C,4.0,A,22.0,B,C,1.0,B,1.0,A,B,B
B,36.0,D,D,3446.0,C,D,4.0,D,C,2.0,A,42.0,B,B,1.0,B,2.0,A,B,A
A,18.0,D,D,3001.0,C,B,2.0,A,C,4.0,D,40.0,B,C,1.0,B,1.0,A,B,B
D,36.0,D,E,3079.0,E,A,4.0,D,C,4.0,D,36.0,B,B,1.0,B,1.0,A,B,B
D,18.0,B,G,6070.0,C,D,3.0,D,C,4.0,A,33.0,B,B,2.0,B,1.0,B,B,B
D,10.0,B,D,2146.0,C,C,1.0,A,C,3.0,D,23.0,B,C,2.0,B,1.0,A,B,B
D,60.0,B,E,13756.0,E,D,2.0,D,C,4.0,C,63.0,A,A,1.0,A,1.0,B,B,B
A,60.0,A,F,14782.0,A,D,3.0,A,C,4.0,C,60.0,A,A,2.0,A,1.0,B,B,A
B,48.0,A,A,7685.0,C,B,2.0,A,B,4.0,A,37.0,B,C,1.0,B,1.0,A,B,A
D,18.0,C,G,2320.0,C,E,2.0,C,C,3.0,D,34.0,B,B,2.0,B,1.0,A,B,B
D,7.0,C,G,846.0,E,D,3.0,D,C,4.0,C,36.0,B,A,1.0,B,1.0,A,B,B
A,36.0,D,E,14318.0,C,D,4.0,D,C,2.0,C,57.0,B,A,1.0,A,1.0,B,B,A
D,6.0,B,E,362.0,A,A,4.0,A,C,4.0,A,52.0,B,B,2.0,D,1.0,A,B,B
B,20.0,D,D,2212.0,E,B,4.0,D,C,4.0,A,39.0,B,B,1.0,B,1.0,B,B,B
A,18.0,D,J,12976.0,C,E,3.0,A,C,4.0,C,38.0,B,A,1.0,A,1.0,B,B,A
D,22.0,D,E,1283.0,E,B,4.0,A,C,4.0,B,25.0,B,C,1.0,B,1.0,A,B,B
C,12.0,D,E,1330.0,C,C,4.0,D,C,1.0,D,26.0,B,B,1.0,B,1.0,A,B,B
D,30.0,C,A,4272.0,A,A,2.0,D,C,2.0,B,26.0,B,B,2.0,D,1.0,A,B,B
D,18.0,B,G,2238.0,C,A,2.0,A,C,1.0,A,25.0,B,B,2.0,B,1.0,A,B,B
D,18.0,D,G,1126.0,E,C,4.0,A,C,2.0,D,21.0,B,C,1.0,B,1.0,B,B,B
A,18.0,B,D,7374.0,C,E,4.0,D,C,4.0,B,40.0,C,B,2.0,A,1.0,B,B,B
A,15.0,B,A,2326.0,B,A,2.0,D,C,4.0,A,27.0,A,B,1.0,B,1.0,A,B,B
D,9.0,D,A,1449.0,C,B,3.0,A,C,2.0,A,27.0,B,B,2.0,B,1.0,A,B,B
D,18.0,D,E,1820.0,C,A,2.0,C,C,2.0,B,30.0,B,B,1.0,A,1.0,B,B,B
A,12.0,D,D,983.0,D,C,1.0,A,C,4.0,D,19.0,B,C,1.0,D,1.0,A,B,B
B,36.0,D,E,3249.0,C,B,2.0,D,C,4.0,C,39.0,A,A,1.0,A,2.0,B,B,B
B,6.0,B,G,1957.0,C,B,1.0,A,C,4.0,A,31.0,B,B,1.0,B,1.0,A,B,B
D,9.0,B,D,2406.0,C,E,2.0,D,C,3.0,A,31.0,B,B,1.0,A,1.0,A,B,B
A,39.0,C,C,11760.0,A,B,2.0,D,C,3.0,C,32.0,B,C,1.0,B,1.0,B,B,B
B,12.0,D,D,2578.0,C,E,3.0,A,C,4.0,C,55.0,B,A,1.0,A,1.0,A,B,B
B,36.0,B,D,2348.0,C,A,3.0,C,C,2.0,B,46.0,B,B,2.0,B,1.0,B,B,B
A,12.0,D,E,1223.0,C,D,1.0,B,C,1.0,D,46.0,B,C,2.0,B,1.0,A,B,A
D,24.0,B,G,1516.0,D,A,4.0,A,C,1.0,D,43.0,B,B,2.0,D,1.0,A,B,B
D,18.0,D,G,1473.0,C,C,3.0,C,C,4.0,D,39.0,B,B,1.0,B,1.0,B,B,B
A,18.0,B,A,1887.0,E,A,4.0,C,C,4.0,D,28.0,A,B,2.0,B,1.0,A,B,B
D,24.0,C,A,8648.0,C,C,2.0,D,C,2.0,A,27.0,A,B,2.0,B,1.0,B,B,A
D,14.0,C,E,802.0,C,A,4.0,D,C,2.0,A,27.0,B,B,2.0,D,1.0,A,B,B
A,18.0,C,E,2899.0,E,D,4.0,D,C,4.0,A,43.0,B,B,1.0,B,2.0,A,B,B
A,24.0,D,G,2039.0,C,C,1.0,C,C,1.0,B,22.0,B,B,1.0,B,1.0,B,B,A
D,24.0,B,J,2197.0,E,B,4.0,D,C,4.0,A,43.0,B,B,2.0,B,2.0,B,B,B
B,15.0,D,G,1053.0,C,C,4.0,C,C,2.0,D,27.0,B,B,1.0,B,1.0,A,A,B
D,24.0,D,G,3235.0,B,D,3.0,B,C,2.0,A,26.0,B,B,1.0,A,1.0,B,B,B
C,12.0,B,E,939.0,B,B,4.0,C,C,2.0,D,28.0,B,B,3.0,B,1.0,B,B,A
A,24.0,D,G,1967.0,C,D,4.0,A,C,4.0,A,20.0,B,B,1.0,B,1.0,B,B,B
D,33.0,B,J,7253.0,C,B,3.0,D,C,2.0,A,35.0,B,B,2.0,A,1.0,B,B,B
D,12.0,B,A,2292.0,C,E,4.0,D,C,2.0,A,42.0,C,B,2.0,A,1.0,B,B,A
D,10.0,D,E,1597.0,B,A,3.0,D,C,2.0,C,40.0,B,C,1.0,D,2.0,A,A,B
B,24.0,D,E,1381.0,E,A,4.0,A,C,2.0,B,35.0,B,B,1.0,B,1.0,A,B,A
D,36.0,B,J,5842.0,C,D,2.0,D,C,2.0,B,35.0,B,B,2.0,B,2.0,B,B,B
B,12.0,D,E,2579.0,C,C,4.0,D,C,1.0,D,33.0,B,B,1.0,D,2.0,A,B,A
B,18.0,C,C,8471.0,E,A,1.0,A,C,2.0,A,23.0,B,C,2.0,B,1.0,B,B,B
D,21.0,D,E,2782.0,B,B,1.0,A,C,2.0,A,31.0,A,B,1.0,A,1.0,A,B,B
A,18.0,D,E,1042.0,E,A,4.0,A,C,2.0,B,33.0,B,B,1.0,B,1.0,A,B,A
D,15.0,D,E,3186.0,D,B,2.0,A,C,3.0,A,20.0,B,C,1.0,B,1.0,A,B,B
A,12.0,D,J,2028.0,E,A,4.0,D,C,2.0,A,30.0,B,B,1.0,B,1.0,A,B,B
A,12.0,B,E,958.0,C,B,2.0,D,C,3.0,D,47.0,B,B,2.0,D,2.0,A,B,B
D,21.0,C,D,1591.0,A,B,4.0,D,C,3.0,D,34.0,B,B,2.0,A,1.0,A,B,B
A,12.0,D,D,2762.0,E,D,1.0,A,C,2.0,B,25.0,A,B,1.0,B,1.0,B,B,A
A,18.0,D,J,2779.0,C,A,1.0,C,C,3.0,A,21.0,B,C,1.0,B,1.0,B,B,B
D,28.0,B,G,2743.0,C,D,4.0,D,C,2.0,A,29.0,B,B,2.0,B,1.0,A,B,B
D,18.0,B,G,1149.0,D,A,4.0,D,C,3.0,D,46.0,B,B,2.0,B,1.0,A,B,B
D,9.0,D,D,1313.0,C,D,1.0,D,C,4.0,A,20.0,B,B,1.0,B,1.0,A,B,B
B,18.0,B,H,1190.0,C,E,2.0,A,C,4.0,C,55.0,B,A,3.0,C,2.0,A,B,A
D,5.0,D,A,3448.0,C,B,1.0,D,C,4.0,D,74.0,B,B,1.0,D,1.0,A,B,B
A,24.0,D,F,11328.0,C,A,2.0,D,A,3.0,A,29.0,A,B,2.0,A,1.0,B,B,A
B,6.0,B,D,1872.0,C,E,4.0,D,C,4.0,C,36.0,B,A,3.0,A,1.0,B,B,B
D,24.0,B,H,2058.0,C,A,4.0,B,C,2.0,D,33.0,B,B,2.0,B,1.0,B,B,B
B,9.0,D,D,2136.0,C,A,3.0,D,C,2.0,D,25.0,B,B,1.0,B,1.0,A,B,B
A,12.0,D,G,1484.0,E,A,2.0,C,C,1.0,D,25.0,B,B,1.0,B,1.0,B,B,A
D,6.0,D,H,660.0,B,B,2.0,C,C,4.0,D,23.0,B,C,1.0,D,1.0,A,B,B
D,24.0,B,E,1287.0,D,D,4.0,A,C,4.0,D,37.0,B,B,2.0,B,1.0,B,B,B
B,42.0,B,H,3394.0,C,E,4.0,D,A,4.0,A,65.0,B,B,2.0,C,1.0,A,B,B
C,12.0,A,A,609.0,C,C,4.0,A,C,1.0,D,26.0,B,B,1.0,C,1.0,A,B,A
D,12.0,D,E,1884.0,C,D,4.0,D,C,4.0,A,39.0,B,B,1.0,A,1.0,B,B,B
B,12.0,D,D,1620.0,C,A,2.0,A,A,3.0,B,30.0,B,B,1.0,B,1.0,A,B,B
A,20.0,C,F,2629.0,C,A,2.0,D,C,3.0,A,29.0,A,B,2.0,B,1.0,B,B,B
D,12.0,D,C,719.0,C,D,4.0,D,C,4.0,A,41.0,A,B,1.0,D,2.0,A,B,A
A,48.0,B,D,5096.0,C,A,2.0,A,C,3.0,A,30.0,B,B,1.0,A,1.0,B,B,A
D,9.0,B,C,1244.0,E,D,4.0,A,C,4.0,B,41.0,B,C,2.0,D,1.0,A,B,B
B,36.0,D,E,1842.0,C,C,4.0,A,C,4.0,A,34.0,B,B,1.0,B,1.0,B,B,A
A,7.0,D,G,2576.0,C,A,2.0,D,B,2.0,D,35.0,B,B,1.0,B,1.0,A,B,B
C,12.0,D,D,1424.0,E,D,3.0,A,C,4.0,D,55.0,B,B,1.0,A,1.0,B,B,B
A,15.0,C,H,1512.0,D,A,3.0,C,C,3.0,B,61.0,C,B,2.0,B,1.0,A,B,A
D,36.0,B,J,11054.0,E,A,4.0,D,C,2.0,A,30.0,B,B,1.0,A,1.0,B,B,B
D,6.0,D,G,518.0,C,A,3.0,A,C,1.0,D,29.0,B,B,1.0,B,1.0,A,B,B
D,12.0,E,D,2759.0,C,D,2.0,D,C,4.0,B,34.0,B,B,2.0,B,1.0,A,B,B
D,24.0,D,J,2670.0,C,D,4.0,D,C,4.0,A,35.0,B,B,1.0,A,1.0,B,B,B
B,24.0,D,E,4817.0,C,B,2.0,D,A,3.0,B,31.0,B,B,1.0,B,1.0,B,B,A
D,24.0,D,J,2679.0,C,C,4.0,A,C,1.0,C,29.0,B,B,1.0,A,1.0,B,B,B
B,11.0,B,E,3905.0,C,A,2.0,D,C,2.0,D,36.0,B,C,2.0,B,2.0,A,B,B
B,12.0,D,J,3386.0,C,D,3.0,D,C,4.0,C,35.0,B,A,1.0,B,1.0,B,B,A
B,6.0,D,B,343.0,C,C,4.0,A,C,1.0,D,27.0,B,B,1.0,B,1.0,A,B,B
D,18.0,D,G,4594.0,C,C,3.0,D,C,2.0,A,32.0,B,B,1.0,B,1.0,B,B,B
B,36.0,D,D,3620.0,C,A,1.0,D,B,2.0,B,37.0,B,B,1.0,B,2.0,A,B,B
B,15.0,D,E,1721.0,C,C,2.0,D,C,3.0,D,36.0,B,B,1.0,B,1.0,A,B,B
A,12.0,D,D,3017.0,C,C,3.0,A,C,1.0,D,34.0,B,C,1.0,A,1.0,A,B,B
A,12.0,D,I,754.0,E,D,4.0,D,C,4.0,B,38.0,B,B,2.0,B,1.0,A,B,B
D,18.0,D,A,1950.0,C,B,4.0,D,C,1.0,A,34.0,C,B,2.0,B,1.0,B,B,B
