@RELATION soybean

@ATTRIBUTE feature_01 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_02 {A, B, C}
@ATTRIBUTE feature_03 {A, B, C, D}
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D}
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C, D}
@ATTRIBUTE feature_11 {A, B, C}
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C, D}
@ATTRIBUTE feature_16 {A, B, C}
@ATTRIBUTE feature_17 {A, B, C}
@ATTRIBUTE feature_18 {A, B, C, D}
@ATTRIBUTE feature_19 {A, B, C}
@ATTRIBUTE feature_20 {A, B, C}
@ATTRIBUTE feature_21 {A, B, C, D, E}
@ATTRIBUTE feature_22 {A, B, C, D, E}
@ATTRIBUTE feature_23 {A, B, C}
@ATTRIBUTE feature_24 {A, B, C, D}
@ATTRIBUTE feature_25 {A, B, C}
@ATTRIBUTE feature_26 {A, B, C, D}
@ATTRIBUTE feature_27 {A, B, C}
@ATTRIBUTE feature_28 {A, B, C, D, E}
@ATTRIBUTE feature_29 {A, B, C, D, E}
@ATTRIBUTE feature_30 {A, B, C}
@ATTRIBUTE feature_31 {A, B, C}
@ATTRIBUTE feature_32 {A, B, C}
@ATTRIBUTE feature_33 {A, B, C}
@ATTRIBUTE feature_34 {A, B, C}
@ATTRIBUTE feature_35 {A, B, C, D}
@ATTRIBUTE class {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S}

@DATA
C,C,D,D,B,E,E,B,C,B,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,B,B,C,E
H,B,D,D,C,D,C,B,B,D,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,D,E
G,C,B,C,B,D,D,B,C,C,C,B,B,B,B,B,B,B,B,B,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
G,C,B,C,C,D,D,B,B,B,C,A,C,D,D,B,B,B,B,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
C,C,B,D,B,E,B,B,B,D,C,B,B,B,B,B,B,B,C,C,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
C,C,B,D,B,B,C,B,C,B,C,A,C,D,D,B,B,B,C,B,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
C,C,B,C,C,B,C,B,C,D,C,A,C,D,D,B,B,B,C,C,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
G,C,B,B,C,D,D,B,C,B,C,A,C,D,D,B,B,B,B,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
D,C,B,C,B,B,C,B,C,B,C,B,B,B,B,B,B,B,C,B,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
D,C,B,D,B,C,E,B,B,B,C,B,B,B,B,B,B,B,C,C,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
H,C,B,D,C,E,B,B,C,C,C,A,C,D,D,B,B,B,B,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
C,C,B,D,C,B,C,B,B,B,C,B,B,B,B,B,B,B,B,C,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
H,B,B,D,C,C,E,C,B,C,C,B,B,B,B,B,B,B,B,C,B,C,B,B,B,D,B,B,C,C,B,B,C,B,C,C
H,B,B,B,B,D,D,B,B,D,C,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,B,C,B,C,C,C,C,C,C
G,C,B,D,C,E,B,C,B,B,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
E,B,B,B,B,B,C,C,C,C,B,A,B,B,B,B,B,B,B,C,C,B,B,C,B,D,B,E,B,C,B,B,C,B,C,C
D,C,B,D,C,C,E,C,C,C,B,A,B,B,B,B,B,B,B,C,B,C,C,C,B,D,B,B,C,B,C,C,C,B,C,C
C,B,B,B,B,D,D,C,C,B,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,B,C,C,B,B,C,B,C,C
G,C,B,D,C,D,D,C,C,B,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
F,C,B,D,C,E,B,C,B,B,B,A,B,B,B,B,B,B,B,C,C,C,B,C,B,D,B,E,B,B,B,C,C,B,C,C
G,B,B,D,C,D,D,C,B,B,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
H,C,B,D,C,E,B,C,D,D,B,A,B,B,B,B,B,B,B,C,B,C,C,C,B,D,B,B,C,B,C,C,C,B,C,C
H,B,B,B,B,C,E,B,B,D,B,A,B,B,B,B,B,B,B,B,B,C,C,C,B,D,B,B,C,C,B,B,C,B,C,C
B,C,B,D,C,C,E,C,B,D,B,A,B,B,B,B,B,B,B,C,C,C,B,C,B,D,B,E,B,B,C,B,B,B,C,C
G,C,B,D,C,D,D,B,C,C,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,B,C,B,B,C,B,C,C,C
H,B,B,D,C,E,B,C,C,B,C,B,B,B,B,B,B,B,B,C,B,C,B,B,B,D,B,B,C,B,C,B,B,C,C,C
H,C,B,D,C,D,D,C,C,D,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,C,B,B,C,B,C,C
G,B,B,B,B,B,C,C,C,B,C,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,B,C,C,B,B,C,B,C,C
H,C,B,D,C,E,B,C,C,C,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
G,B,B,B,B,C,E,B,D,B,C,A,B,B,B,B,B,B,B,B,B,C,C,C,B,D,B,B,C,C,B,B,C,B,C,C
H,B,B,D,C,C,E,C,C,B,C,B,B,B,B,B,B,B,B,C,B,C,B,B,B,D,B,B,C,B,C,B,B,C,C,C
H,B,B,D,C,D,D,C,B,B,C,B,B,B,B,B,B,B,B,C,B,C,B,B,B,D,B,B,C,B,C,B,B,C,C,C
D,B,D,D,C,B,D,B,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
D,C,C,D,B,B,D,B,C,B,C,A,C,D,C,B,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
D,B,D,D,C,B,C,B,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
D,C,C,D,B,D,C,B,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
D,B,D,B,C,C,D,B,B,B,C,A,C,D,C,C,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
E,C,C,D,B,B,E,B,D,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
F,C,C,B,B,C,D,C,B,B,C,A,C,D,C,C,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
E,B,D,D,C,D,D,C,B,B,C,A,C,D,C,B,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
E,C,C,B,B,C,C,C,B,C,B,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
E,B,D,B,C,C,E,B,D,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,O
C,B,B,D,C,E,B,C,B,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,C,D,D,C,C,E,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
D,C,B,D,C,B,C,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,B,C,C,E,B,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,D,D,B,D,D,B,D,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,B,B,C,C,B,C,B
H,C,B,B,C,C,E,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,D,D,C,C,E,B,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,B,B,B,C,C,B,B,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,B,C,C,E,B,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,B,C,C,D,C,B,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,B,C,D,E,B,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,B,B,D,C,C,C,C,B,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,D,C,E,B,B,B,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,B,C,D,D,C,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,B,B,D,C,B,C,B,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,C,B,D,C,D,D,B,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,C,B,D,C,E,B,C,B,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,D,C,D,B,B,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,B,C,C,D,B,B,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,B,B,B,C,E,B,B,B,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,B,B,B,C,C,B,C,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,B,B,B,C,C,E,C,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,B,B,D,C,D,B,B,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,B,D,B,C,D,D,B,D,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,B,B,C,C,B,C,B
C,B,B,D,C,E,D,C,B,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,B,B,B,C,D,B,B,B,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,B,B,D,C,B,E,B,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,C,B,B,C,C,E,C,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,B,C,D,E,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
D,C,B,D,C,B,C,C,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,D,C,E,D,B,B,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,B,C,E,B,B,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
C,C,B,B,C,E,B,C,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,B,B,D,C,C,E,B,B,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,D,C,D,B,B,C,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,D,C,B,E,B,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,D,C,B,E,B,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,B,B,B,C,D,B,C,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
H,C,B,D,C,C,C,B,B,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,B,D,C,E,D,B,B,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,B
G,C,D,B,C,C,E,B,C,C,C,A,C,D,C,B,B,B,B,C,B,C,C,C,B,D,B,B,C,B,B,B,C,B,C,M
C,C,D,B,C,E,B,B,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
H,C,D,D,C,D,B,B,C,C,C,A,C,D,C,B,B,B,B,C,B,B,B,C,B,D,B,E,B,C,B,B,C,B,C,M
H,B,B,D,C,C,D,B,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
G,B,B,B,C,C,E,B,B,D,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
C,C,D,D,C,C,E,C,B,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
D,C,B,D,C,D,E,B,B,B,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,B,C,D,D,B,C,B,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,D,C,E,B,C,B,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
H,C,B,B,C,D,E,B,B,B,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,D,C,B,B,B,B,B,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
C,C,B,D,C,D,E,B,B,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
C,C,B,B,C,E,B,C,B,C,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
C,C,B,D,C,D,B,C,B,B,C,A,C,D,C,B,B,B,B,C,B,B,B,C,B,D,B,B,D,C,B,B,C,B,C,M
D,B,B,D,C,C,D,C,C,D,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,D,C,C,C,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,B,C,E,B,B,B,C,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
C,C,B,B,C,E,D,C,C,C,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,B,C,D,B,B,B,B,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,D,C,C,C,C,C,C,C,A,C,D,C,B,B,B,B,C,B,B,B,C,B,D,B,B,D,C,B,B,C,B,C,M
D,C,B,D,C,E,D,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
G,C,D,B,C,C,E,B,B,C,C,A,C,D,C,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,B,C,B,C,C,M
H,C,D,D,C,E,E,C,D,C,C,A,C,D,C,B,B,B,B,C,B,D,C,B,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,D,C,C,D,C,C,C,C,A,C,D,C,B,B,B,B,C,B,B,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,B,B,D,C,C,E,B,B,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
D,B,B,D,C,C,C,C,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
G,B,B,B,C,C,B,B,B,D,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
C,C,B,D,C,E,D,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
C,C,B,B,C,E,C,C,C,C,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
G,B,B,B,C,C,C,B,C,D,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,B,B,B,C,C,E,B,B,D,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
C,C,B,D,C,B,B,C,B,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
C,C,B,D,C,D,E,C,B,B,C,A,C,D,C,B,B,B,B,C,B,B,B,C,B,D,B,B,D,C,B,B,C,B,C,M
C,B,D,B,C,E,B,B,D,D,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
C,C,B,D,C,D,C,B,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
H,B,B,D,C,E,D,C,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,M
C,C,B,B,C,E,E,C,B,C,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,D,C,E,D,B,C,C,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,B,C,D,C,B,C,B,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,B,B,D,C,D,E,B,B,D,C,A,C,D,C,B,B,B,B,C,B,C,B,C,B,D,B,B,D,C,B,B,C,B,C,M
H,C,B,B,A,C,E,A,A,C,C,B,A,A,A,A,A,A,B,A,D,D,C,B,B,D,B,B,C,C,C,C,B,C,A,J
G,C,B,B,A,D,E,A,A,B,C,B,A,A,A,A,A,A,B,A,D,D,C,B,B,D,B,B,C,B,C,C,B,C,A,J
H,C,B,B,A,C,E,A,A,C,C,B,A,A,A,A,A,A,B,A,D,D,C,B,B,D,B,B,C,B,C,C,B,C,A,J
F,B,D,B,A,C,C,A,A,D,C,B,A,A,A,A,A,A,B,A,D,D,C,B,B,D,B,B,C,C,C,C,B,C,A,J
H,A,B,B,A,D,E,A,A,A,C,B,A,A,A,A,A,A,B,A,D,D,C,B,B,D,B,B,C,B,C,C,B,C,A,J
H,C,B,B,A,D,E,A,A,C,C,B,A,A,A,A,A,A,B,A,D,D,C,B,B,D,B,B,C,B,C,C,B,C,A,J
E,A,A,A,A,D,B,A,A,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,D,A,B,B,A,B,A,B,I
D,A,A,A,A,C,D,A,A,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,D,A,B,B,A,B,A,B,I
C,A,A,A,A,C,D,A,A,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,D,A,B,B,A,B,A,B,I
D,A,A,A,A,D,B,A,A,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,D,A,B,B,A,B,A,B,I
D,A,A,A,A,D,B,A,A,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,D,A,B,B,A,B,A,B,I
C,A,A,A,A,D,B,A,A,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,D,A,B,B,A,B,A,B,I
A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
F,B,A,C,A,E,C,A,A,A,B,A,C,C,C,B,C,A,B,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,D,N
B,B,A,C,A,B,E,A,A,A,B,A,B,B,B,B,C,A,B,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,D,N
F,B,A,C,A,B,C,A,A,A,B,A,B,B,B,B,C,A,B,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,D,N
F,B,A,C,A,E,E,A,A,A,B,A,C,C,C,B,C,A,B,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,D,N
G,C,B,D,C,E,C,C,C,D,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
D,C,B,D,C,D,C,D,B,B,B,A,B,B,B,B,B,B,B,C,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
C,C,B,D,C,C,C,D,C,D,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
H,C,B,D,C,E,C,C,C,B,B,A,B,B,B,B,B,B,B,C,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
D,C,B,D,C,C,C,C,C,B,B,A,B,B,B,B,B,B,B,C,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
H,C,B,D,C,D,C,C,B,C,B,A,B,B,B,B,B,B,B,C,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
H,C,B,D,C,C,B,C,B,D,B,A,B,B,B,B,B,B,B,B,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
D,C,B,D,C,D,B,C,C,B,B,A,B,B,B,B,B,B,B,B,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
C,C,B,D,C,C,C,C,B,D,B,A,B,B,B,B,B,B,B,B,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
G,C,B,D,C,C,C,C,B,B,B,A,B,B,B,B,B,B,B,B,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
C,C,C,D,C,D,E,C,B,B,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
H,C,C,B,C,C,D,C,C,D,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
C,C,C,B,C,C,E,C,B,B,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
H,C,C,B,C,B,D,C,C,D,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
H,C,C,B,B,D,D,C,C,D,B,A,B,B,B,B,B,B,B,B,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
D,C,C,B,B,B,D,C,C,B,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
C,C,C,B,B,E,E,C,B,D,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
H,C,C,B,B,D,D,C,C,C,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
G,C,C,B,B,C,E,C,B,B,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
G,C,C,B,B,C,E,C,B,C,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
B,B,B,C,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,D,S
B,B,B,C,C,C,B,D,C,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
B,B,B,C,C,D,B,C,B,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
E,B,B,C,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
F,B,B,C,C,D,B,C,C,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
E,B,B,C,C,C,B,D,C,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
E,B,B,C,C,D,B,C,C,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,C,D,B,C,E,C,B,B,C,B,C,S
C,C,B,C,B,B,B,D,C,D,B,A,B,B,B,B,B,B,B,B,E,B,B,C,C,D,B,C,E,C,B,B,C,B,C,S
B,B,B,C,C,E,B,C,B,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,C,D,B,C,E,C,B,B,C,B,C,S
E,B,B,C,C,C,B,D,C,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,C,D,B,C,E,C,B,B,C,B,C,S
E,B,D,C,C,C,B,D,C,D,B,A,B,B,B,B,B,B,B,C,E,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
F,B,B,C,C,C,B,C,B,D,B,A,B,B,B,B,B,B,B,C,C,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
E,B,B,D,B,C,B,D,B,D,B,A,B,B,B,B,B,B,B,C,C,C,B,C,B,D,B,C,E,C,B,B,C,B,C,P
F,B,B,D,B,D,E,C,B,B,B,A,B,B,B,B,B,B,B,C,C,C,B,C,B,D,B,C,E,C,B,B,C,B,C,P
D,B,D,D,A,D,B,A,A,A,B,A,B,B,B,B,B,B,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,C,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
B,B,B,B,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,D,A,B,B,A,A,A,B,A,A,A,A,A,A,A,B,A,D,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
C,B,D,B,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
