@RELATION vote

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A, B, C}
@ATTRIBUTE feature_03 {A, B, C}
@ATTRIBUTE feature_04 {A, B, C}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C}
@ATTRIBUTE feature_07 {A, B, C}
@ATTRIBUTE feature_08 {A, B, C}
@ATTRIBUTE feature_09 {A, B, C}
@ATTRIBUTE feature_10 {A, B, C}
@ATTRIBUTE feature_11 {A, B, C}
@ATTRIBUTE feature_12 {A, B, C}
@ATTRIBUTE feature_13 {A, B, C}
@ATTRIBUTE feature_14 {A, B, C}
@ATTRIBUTE feature_15 {A, B, C}
@ATTRIBUTE feature_16 {A, B, C}
@ATTRIBUTE class {A, B}

@DATA
B,C,C,C,C,C,B,B,B,B,B,C,C,C,B,A,A
C,B,C,B,B,B,C,C,C,A,C,B,B,B,C,A,A
A,A,B,B,A,C,A,B,B,B,C,C,B,C,B,A,A
C,C,B,B,B,B,B,C,C,B,C,B,B,B,C,B,A
C,C,B,C,C,C,B,B,B,B,C,C,C,C,B,C,B
A,A,A,A,B,C,B,C,C,B,B,C,C,B,B,A,B
C,C,A,A,A,C,B,B,B,B,C,B,C,B,B,C,A
C,C,C,A,B,B,B,C,B,B,C,A,B,B,C,C,A
C,C,C,B,C,C,B,C,B,B,C,B,C,B,C,C,A
C,C,B,B,C,A,B,B,B,B,C,B,C,C,B,C,A
B,C,C,B,C,C,B,C,B,B,B,B,B,B,B,C,A
B,C,B,C,A,C,B,B,B,C,B,C,C,C,B,B,B
B,C,B,C,C,C,B,A,B,B,A,A,A,C,B,A,B
B,C,B,C,C,C,B,B,B,C,C,C,C,C,B,B,B
A,B,C,C,B,C,C,C,C,C,B,C,B,C,B,C,B
B,C,B,C,C,C,B,B,B,C,B,C,A,C,B,B,B
C,C,B,C,C,C,B,B,B,C,B,C,C,C,B,C,B
B,B,B,C,C,C,B,B,B,B,B,C,C,C,B,C,B
C,B,C,B,C,C,B,B,C,C,B,B,C,C,B,C,A
B,B,B,C,C,C,B,B,B,B,C,C,C,C,B,B,A
C,B,C,B,B,C,C,C,C,B,B,C,A,C,C,C,A
B,B,B,C,C,C,B,B,B,B,B,C,C,C,B,B,B
B,B,B,C,C,C,B,B,B,B,C,C,C,C,B,C,B
C,B,C,B,B,C,C,C,C,C,C,B,B,B,B,C,A
B,B,B,C,C,C,B,B,B,C,B,C,C,C,B,C,B
C,C,C,C,C,C,C,C,B,C,A,A,A,C,B,C,B
C,C,C,B,B,B,C,C,C,B,B,B,B,B,B,C,A
B,C,C,B,B,C,C,C,A,C,B,B,B,B,B,C,A
C,C,B,C,C,C,B,B,B,C,B,B,C,C,B,C,B
C,C,C,B,B,B,C,C,C,C,C,B,C,B,B,C,A
C,C,C,B,B,B,C,C,B,C,B,B,B,B,B,C,A
C,C,C,B,B,B,C,C,C,B,B,B,B,B,B,C,A
C,C,C,C,C,C,C,C,B,C,B,B,C,C,B,C,B
B,C,C,B,C,C,C,C,B,B,C,B,C,B,C,C,A
B,B,C,B,B,C,C,C,C,B,C,B,B,B,C,C,A
B,C,C,B,B,C,C,C,C,B,C,B,B,C,C,C,A
B,C,C,B,B,A,C,C,C,C,C,B,A,C,C,C,A
B,B,C,B,B,B,C,C,B,C,C,B,B,B,C,A,A
C,B,C,B,B,B,C,C,C,C,B,B,B,B,C,C,A
B,B,B,C,C,C,C,C,B,C,B,C,C,C,B,C,B
A,A,A,B,B,B,C,C,C,C,B,B,C,B,C,C,A
C,B,C,B,A,B,C,C,C,C,B,C,B,A,C,C,A
B,B,C,C,C,C,B,B,C,C,B,C,C,C,B,C,B
B,B,C,B,B,B,C,C,C,C,B,B,B,B,B,C,A
B,A,B,C,C,C,B,B,B,B,C,C,C,C,B,C,B
B,B,B,C,C,C,A,A,A,A,B,C,C,C,B,C,B
B,C,B,C,C,C,B,B,B,C,B,C,C,C,A,B,B
% 
% 
% 
