@RELATION autos

@ATTRIBUTE feature_01 REAL
@ATTRIBUTE feature_02 {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V}
@ATTRIBUTE feature_03 {A, B}
@ATTRIBUTE feature_04 {A, B}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C}
@ATTRIBUTE feature_08 {A, B}
@ATTRIBUTE feature_09 REAL
@ATTRIBUTE feature_10 REAL
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 REAL
@ATTRIBUTE feature_13 REAL
@ATTRIBUTE feature_14 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_15 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 REAL
@ATTRIBUTE feature_21 REAL
@ATTRIBUTE feature_22 REAL
@ATTRIBUTE feature_23 REAL
@ATTRIBUTE feature_24 REAL
@ATTRIBUTE feature_25 REAL
@ATTRIBUTE class {A, B, C, D, E, F}

@DATA
87.0,T,B,A,C,C,B,A,95.7,158.7,63.6,54.5,2040.0,D,C,92.0,B,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,6338.0,D
74.0,T,B,A,B,C,B,A,95.7,158.7,63.6,54.5,2015.0,D,C,92.0,B,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,6488.0,D
77.0,T,B,A,B,E,B,A,95.7,169.7,63.6,59.1,2280.0,D,C,92.0,B,3.05,3.03,9.0,62.0,4800.0,31.0,37.0,6918.0,C
81.0,T,B,A,B,E,A,A,95.7,169.7,63.6,59.1,2290.0,D,C,92.0,B,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,7898.0,C
91.0,T,B,A,B,E,A,A,95.7,169.7,63.6,59.1,3110.0,D,C,92.0,B,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,8778.0,C
91.0,T,B,A,B,D,B,A,95.7,166.3,64.4,53.0,2081.0,D,C,98.0,B,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,6938.0,C
91.0,T,B,A,B,C,B,A,95.7,166.3,64.4,52.8,2109.0,D,C,98.0,B,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,7198.0,C
91.0,T,A,A,B,D,B,A,95.7,166.3,64.4,53.0,2275.0,D,C,110.0,D,3.27,3.35,22.5,56.0,4500.0,34.0,36.0,7898.0,C
91.0,T,A,A,B,C,B,A,95.7,166.3,64.4,52.8,2275.0,D,C,110.0,D,3.27,3.35,22.5,56.0,4500.0,38.0,47.0,7788.0,C
91.0,T,B,A,B,D,B,A,95.7,166.3,64.4,53.0,2094.0,D,C,98.0,B,3.19,3.03,9.0,70.0,4800.0,38.0,47.0,7738.0,C
91.0,T,B,A,B,C,B,A,95.7,166.3,64.4,52.8,2122.0,D,C,98.0,B,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,8358.0,C
91.0,T,B,A,B,D,B,A,95.7,166.3,64.4,52.8,2140.0,D,C,98.0,B,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,9258.0,C
168.0,T,B,A,C,D,C,A,94.5,168.7,64.0,52.6,2169.0,D,C,98.0,B,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,8058.0,D
168.0,T,B,A,C,C,C,A,94.5,168.7,64.0,52.6,2204.0,D,C,98.0,B,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,8238.0,D
168.0,T,B,A,C,D,C,A,94.5,168.7,64.0,52.6,2265.0,A,C,98.0,F,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9298.0,D
168.0,T,B,A,C,C,C,A,94.5,168.7,64.0,52.6,2300.0,A,C,98.0,F,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9538.0,D
134.0,T,B,A,C,B,C,A,98.4,176.2,65.6,52.0,2540.0,D,C,146.0,F,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,8449.0,E
134.0,T,B,A,C,B,C,A,98.4,176.2,65.6,52.0,2536.0,D,C,146.0,F,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,9639.0,E
134.0,T,B,A,C,C,C,A,98.4,176.2,65.6,52.0,2551.0,D,C,146.0,F,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,9989.0,E
134.0,T,B,A,C,B,C,A,98.4,176.2,65.6,52.0,2679.0,D,C,146.0,F,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,11199.0,E
134.0,T,B,A,C,C,C,A,98.4,176.2,65.6,52.0,2714.0,D,C,146.0,F,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,11549.0,E
134.0,T,B,A,C,A,C,A,98.4,176.2,65.6,53.0,2975.0,D,C,146.0,F,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,17669.0,E
65.0,T,B,A,B,D,B,A,102.4,175.6,66.5,54.9,2326.0,D,C,122.0,F,3.31,3.54,8.7,92.0,4200.0,29.0,34.0,8948.0,A
65.0,T,A,B,B,D,B,A,102.4,175.6,66.5,54.9,2480.0,D,C,110.0,D,3.27,3.35,22.5,73.0,4500.0,30.0,33.0,10698.0,A
65.0,T,B,A,B,C,B,A,102.4,175.6,66.5,53.9,2414.0,D,C,122.0,F,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,9988.0,A
65.0,T,B,A,B,D,B,A,102.4,175.6,66.5,54.9,2414.0,D,C,122.0,F,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,10898.0,A
65.0,T,B,A,B,C,B,A,102.4,175.6,66.5,53.9,2458.0,D,C,122.0,F,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,11248.0,A
197.0,T,B,A,C,C,C,A,102.9,183.5,67.7,52.0,2976.0,A,D,171.0,F,3.27,3.35,9.3,161.0,5200.0,20.0,24.0,16558.0,F
197.0,T,B,A,C,C,C,A,102.9,183.5,67.7,52.0,3016.0,A,D,171.0,F,3.27,3.35,9.3,161.0,5200.0,19.0,24.0,15998.0,F
90.0,T,B,A,B,D,C,A,104.5,187.8,66.5,54.1,3131.0,A,D,171.0,F,3.27,3.35,9.2,156.0,5200.0,20.0,24.0,15690.0,A
?,T,B,A,B,E,C,A,104.5,187.8,66.5,54.1,3151.0,A,D,161.0,F,3.27,3.35,9.2,156.0,5200.0,19.0,24.0,15750.0,A
122.0,U,A,A,C,D,B,A,97.3,171.7,65.5,55.7,2261.0,D,C,97.0,D,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7775.0,E
122.0,U,B,A,C,D,B,A,97.3,171.7,65.5,55.7,2209.0,D,C,109.0,F,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,7975.0,E
94.0,U,A,A,B,D,B,A,97.3,171.7,65.5,55.7,2264.0,D,C,97.0,D,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7995.0,E
94.0,U,B,A,B,D,B,A,97.3,171.7,65.5,55.7,2212.0,D,C,109.0,F,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,8195.0,E
94.0,U,B,A,B,D,B,A,97.3,171.7,65.5,55.7,2275.0,D,C,109.0,F,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,8495.0,E
94.0,U,A,B,B,D,B,A,97.3,171.7,65.5,55.7,2319.0,D,C,97.0,D,3.01,3.4,23.0,68.0,4500.0,37.0,42.0,9495.0,E
94.0,U,B,A,B,D,B,A,97.3,171.7,65.5,55.7,2300.0,D,C,109.0,F,3.19,3.4,10.0,100.0,5500.0,26.0,32.0,9995.0,E
?,U,B,A,C,A,B,A,94.5,159.3,64.2,55.6,2254.0,D,C,109.0,F,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,11595.0,F
256.0,U,B,A,C,C,B,A,94.5,165.7,64.0,51.4,2221.0,D,C,109.0,F,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,9980.0,F
?,U,B,A,B,D,B,A,100.4,180.2,66.9,55.1,2661.0,D,B,136.0,F,3.19,3.4,8.5,110.0,5500.0,19.0,24.0,13295.0,C
?,U,A,B,B,D,B,A,100.4,180.2,66.9,55.1,2579.0,D,C,97.0,D,3.01,3.4,23.0,68.0,4500.0,33.0,38.0,13845.0,C
?,U,B,A,B,E,B,A,100.4,183.1,66.9,55.1,2563.0,D,C,109.0,F,3.19,3.4,9.0,88.0,5500.0,25.0,31.0,12290.0,C
103.0,V,B,A,B,D,C,A,104.3,188.8,67.2,56.2,2912.0,D,C,141.0,F,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,12940.0,B
74.0,V,B,A,B,E,C,A,104.3,188.8,67.2,57.5,3034.0,D,C,141.0,F,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,13415.0,A
103.0,V,B,A,B,D,C,A,104.3,188.8,67.2,56.2,2935.0,D,C,141.0,F,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,15985.0,B
74.0,V,B,A,B,E,C,A,104.3,188.8,67.2,57.5,3042.0,D,C,141.0,F,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,16515.0,A
103.0,V,B,B,B,D,C,A,104.3,188.8,67.2,56.2,3045.0,D,C,130.0,F,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,18420.0,B
74.0,V,B,B,B,E,C,A,104.3,188.8,67.2,57.5,3157.0,D,C,130.0,F,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,18950.0,A
95.0,V,B,A,B,D,C,A,109.1,188.8,68.9,55.5,2952.0,D,C,141.0,F,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,16845.0,A
95.0,V,B,B,B,D,C,A,109.1,188.8,68.8,55.5,3049.0,D,C,141.0,F,3.78,3.15,8.7,160.0,5300.0,19.0,25.0,19045.0,A
95.0,V,B,A,B,D,C,A,109.1,188.8,68.9,55.5,3012.0,F,D,173.0,F,3.58,2.87,8.8,134.0,5500.0,18.0,23.0,21485.0,A
95.0,V,A,B,B,D,C,A,109.1,188.8,68.9,55.5,3217.0,D,D,145.0,D,3.01,3.4,23.0,106.0,4800.0,26.0,27.0,22470.0,A
95.0,V,B,B,B,D,C,A,109.1,188.8,68.9,55.5,3062.0,D,C,141.0,F,3.78,3.15,9.5,114.0,5400.0,19.0,25.0,22625.0,A
% 
% 
% 
