@RELATION horse-colic-orig

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK, CL, CM, CN, CO, CP, CQ, CR, CS, CT, CU, CV, CW, CX, CY, CZ, DA, DB, DC, DD, DE, DF, DG, DH, DI, DJ, DK, DL, DM, DN, DO, DP, DQ, DR, DS, DT, DU, DV, DW, DX, DY, DZ, EA, EB, EC, ED, EE, EF, EG, EH, EI, EJ, EK, EL, EM, EN, EO, EP, EQ, ER, ES, ET, EU, EV, EW, EX, EY, EZ, FA, FB, FC, FD, FE, FF, FG, FH, FI, FJ, FK, FL, FM, FN, FO, FP, FQ, FR, FS, FT, FU, FV, FW, FX, FY, FZ, GA, GB, GC, GD, GE, GF, GG, GH, GI, GJ, GK, GL, GM, GN, GO, GP, GQ, GR, GS, GT, GU, GV, GW, GX, GY, GZ, HA, HB, HC, HD, HE, HF, HG, HH, HI, HJ, HK, HL, HM, HN, HO, HP, HQ, HR, HS, HT, HU, HV, HW, HX, HY, HZ, IA, IB, IC, ID, IE, IF, IG, IH, II, IJ, IK, IL, IM, IN, IO, IP, IQ, IR, IS, IT, IU, IV, IW, IX, IY, IZ, JA, JB, JC, JD, JE, JF, JG, JH, JI, JJ, JK, JL, JM, JN, JO, JP, JQ, JR, JS, JT, JU, JV, JW, JX, JY, JZ, KA, KB, KC, KD, KE, KF, KG, KH, KI, KJ, KK, KL, KM, KN, KO, KP, KQ, KR, KS, KT, KU, KV, KW, KX, KY, KZ, LA, LB, LC, LD, LE, LF, LG, LH, LI, LJ, LK, LL, LM, LN, LO, LP, LQ, LR, LS, LT, LU, LV, LW, LX, LY, LZ, MA, MB, MC, MD, ME, MF, MG, MH, MI, MJ, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY}
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 INTEGER
@ATTRIBUTE feature_06 INTEGER
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D, E}
@ATTRIBUTE feature_09 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_10 {A, B, C, D}
@ATTRIBUTE feature_11 {A, B, C, D, E, F}
@ATTRIBUTE feature_12 {A, B, C, D, E}
@ATTRIBUTE feature_13 {A, B, C, D, E}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C, D}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D, E}
@ATTRIBUTE feature_18 {A, B, C, D, E, F}
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 REAL
@ATTRIBUTE feature_21 {A, B, C, D}
@ATTRIBUTE feature_22 REAL
@ATTRIBUTE feature_23 {A, B, C, D}
@ATTRIBUTE feature_24 {A, B}
@ATTRIBUTE feature_25 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK}
@ATTRIBUTE feature_26 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_27 {A, B}
@ATTRIBUTE class {A, B}

@DATA
B,A,JO,37.8,60,24,B,A,D,C,A,E,E,C,D,2.0,A,F,52.0,75.0,A,?,D,A,AN,A,A,B
C,A,CG,38.0,42,40,D,B,B,B,D,D,B,A,A,?,A,A,?,?,A,?,B,B,AX,A,A,B
C,A,BX,?,?,12,B,B,C,B,C,B,C,D,B,?,B,D,44.0,7.5,C,?,B,B,AA,A,A,A
B,A,BI,?,?,?,A,A,A,A,E,A,A,B,B,?,A,F,35.0,58.0,C,1.0,B,A,BO,A,A,B
B,A,IE,38.3,42,24,A,A,A,B,A,A,A,A,A,?,A,A,40.0,8.5,A,?,C,A,CD,A,A,B
C,A,MJ,39.5,60,10,D,A,A,C,D,D,C,C,B,?,D,A,38.0,56.0,B,?,B,B,AA,A,A,B
B,A,JP,38.0,66,20,B,D,D,B,F,D,B,B,B,?,D,A,46.0,46.0,D,2.0,D,A,CB,A,A,B
B,A,CW,38.7,76,?,B,B,F,C,D,D,C,C,C,?,E,E,50.0,8.0,A,?,B,A,AQ,A,A,A
B,A,LU,39.4,120,48,A,A,F,B,A,D,D,B,A,?,E,A,56.0,64.0,B,2.0,D,B,AH,A,A,B
B,A,BI,38.3,40,18,B,B,B,B,D,B,B,A,A,?,C,B,43.0,5.9,B,?,B,B,AA,A,A,A
C,A,CK,?,44,24,B,B,B,B,D,D,B,C,B,?,A,B,?,6.3,A,?,B,B,AX,A,A,B
B,A,HO,38.4,104,40,B,B,D,B,C,E,C,C,D,6.5,A,E,55.0,8.5,A,?,B,A,AM,A,A,B
B,A,MD,?,65,24,A,A,A,C,F,A,E,D,B,?,A,F,?,?,A,?,D,A,BE,A,A,B
C,A,IW,37.5,44,20,B,B,D,B,A,B,B,A,A,?,B,A,35.0,7.2,A,?,B,B,AA,A,A,B
C,A,AW,39.0,86,16,D,D,F,A,D,D,D,A,C,?,A,A,68.0,5.8,D,6.0,C,A,BY,A,A,A
B,A,MP,38.5,129,48,D,D,D,B,C,E,D,B,D,2.0,A,A,57.0,66.0,D,2.0,B,A,AO,A,A,B
B,A,GB,?,104,?,D,D,F,C,C,E,D,A,D,?,E,E,69.0,8.6,C,3.4,C,A,AP,A,A,A
C,A,AB,?,?,?,D,E,G,A,E,A,E,A,A,?,A,A,?,?,A,?,C,A,BI,A,A,A
B,A,BK,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,A,AQ,A,A,B
B,A,ME,38.2,60,30,B,B,D,B,D,D,B,C,B,?,D,C,48.0,66.0,A,?,B,A,CA,A,A,B
B,A,AF,?,68,14,A,A,E,B,E,A,A,A,B,4.3,A,A,?,?,C,2.8,C,A,BO,A,A,A
B,A,JR,?,60,30,D,D,E,C,F,E,E,B,B,?,E,A,45.0,70.0,D,2.0,B,A,BZ,D,A,B
C,A,BZ,38.5,100,?,D,D,F,C,E,D,E,C,B,?,E,F,?,?,A,?,D,B,AB,A,A,A
B,A,HL,38.4,84,30,D,B,F,C,E,D,D,C,D,6.5,E,E,47.0,7.5,D,?,C,A,AS,A,A,B
C,A,CL,37.8,48,14,A,A,B,B,D,A,C,B,D,5.3,B,A,35.0,7.5,A,?,B,B,AX,A,A,A
B,A,BQ,38.0,?,24,D,D,G,C,F,A,E,B,B,?,A,A,68.0,7.8,A,?,C,A,AN,A,A,B
C,A,LN,37.8,56,16,B,B,C,B,C,B,B,C,B,?,B,A,44.0,68.0,B,1.0,B,B,AA,A,A,B
C,A,JU,38.2,68,32,C,C,C,B,B,B,B,D,B,?,B,B,43.0,65.0,A,?,B,B,AA,A,A,B
B,A,LM,38.5,120,60,E,D,G,C,A,D,A,A,A,?,A,A,54.0,?,A,?,B,A,BY,A,A,B
B,A,BG,39.3,64,90,C,D,B,B,A,D,B,B,C,?,A,A,39.0,6.7,A,?,B,A,AJ,A,A,B
B,A,AK,38.4,80,30,E,D,B,B,D,D,D,D,D,?,E,F,32.0,6.1,D,4.3,B,A,CE,A,A,A
B,A,JL,38.5,60,?,B,B,A,B,A,B,B,A,A,?,A,A,33.0,53.0,B,?,B,A,BK,A,A,B
B,A,GV,38.3,60,16,D,B,B,B,C,B,B,C,C,3.0,B,E,30.0,6.0,B,3.0,B,A,AY,A,A,B
B,A,DM,37.1,40,8,A,B,E,B,D,D,B,B,B,?,D,D,23.0,6.7,D,?,B,A,BD,A,A,A
C,B,DK,?,100,44,C,B,B,B,E,B,B,A,A,?,B,A,37.0,4.7,A,?,B,B,CC,A,A,B
B,A,LJ,38.2,48,18,B,B,B,B,D,D,D,B,C,?,E,A,48.0,74.0,B,2.0,B,A,BU,A,A,B
B,A,EW,?,60,48,D,D,E,C,E,D,E,A,A,?,A,A,58.0,7.6,A,?,C,A,BE,A,A,B
C,A,KE,37.9,88,24,B,B,C,B,C,C,B,A,A,?,E,B,37.0,56.0,A,?,B,B,AA,A,A,B
C,A,IZ,38.0,44,12,D,B,B,A,A,B,C,A,A,?,B,A,42.0,64.0,A,?,B,B,AA,A,A,B
C,A,FR,38.5,60,20,B,B,F,C,C,C,B,C,B,?,C,D,63.0,7.5,C,2.3,D,B,AV,A,A,A
C,A,AC,38.5,96,36,D,D,A,C,C,E,C,B,C,?,E,F,70.0,8.5,A,?,C,A,AH,A,A,A
C,A,JJ,38.3,60,20,B,B,B,C,B,D,B,A,A,?,D,A,34.0,66.0,A,?,B,B,AA,A,A,B
C,A,KD,38.5,60,40,D,B,C,B,C,B,C,A,A,?,D,C,49.0,59.0,A,?,B,B,AA,A,A,B
B,A,BU,37.3,48,12,B,A,D,B,D,B,D,C,B,?,D,D,40.0,6.6,C,?,B,A,BE,A,A,A
B,A,DE,38.5,86,?,B,B,D,B,E,E,D,C,B,?,D,F,45.0,7.4,B,3.4,C,A,BG,A,A,A
B,A,JW,37.5,48,40,A,A,A,A,A,A,A,B,B,?,A,F,41.0,55.0,D,2.0,D,A,AQ,A,A,B
C,A,FX,37.2,36,9,B,B,B,B,C,D,B,C,B,?,E,B,35.0,5.7,A,?,B,B,AY,A,A,B
B,A,FM,39.2,?,23,D,B,D,B,E,E,C,C,A,?,A,A,36.0,6.6,B,3.0,B,A,BB,A,A,A
C,A,BZ,38.5,100,?,D,D,F,C,E,D,E,C,B,?,E,F,?,?,A,?,D,B,BN,A,A,B
B,A,MF,38.5,96,30,C,D,E,C,E,E,D,C,B,?,D,F,50.0,65.0,A,?,B,A,BZ,E,A,B
B,A,HS,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,45.0,8.7,A,?,C,A,AQ,A,A,B
B,A,MT,37.8,88,80,D,D,F,C,A,D,D,C,D,?,E,F,64.0,89.0,A,?,D,A,BE,A,A,B
C,A,KO,37.5,44,10,D,B,B,B,D,B,C,C,A,?,D,D,43.0,51.0,B,1.0,B,B,AA,A,A,B
B,A,IC,37.9,68,20,A,B,C,B,C,E,C,A,A,?,B,F,45.0,4.0,D,2.8,C,A,BY,A,A,A
B,A,GQ,38.0,86,24,E,D,E,B,C,E,E,B,B,?,E,F,45.0,5.5,B,10.1,C,A,AX,A,A,A
B,B,FD,38.9,120,30,B,D,C,C,D,D,D,D,B,3.0,A,A,47.0,6.3,B,?,B,B,AM,A,A,B
B,A,CD,37.6,45,12,D,B,D,B,A,C,C,C,B,?,B,E,39.0,7.0,C,1.5,B,A,AK,A,A,A
C,A,EP,38.6,56,32,C,B,B,B,B,B,B,C,A,?,C,A,40.0,7.0,C,2.1,B,B,AA,A,A,A
B,A,EK,37.8,40,12,B,B,B,B,B,C,B,C,B,?,B,C,38.0,7.0,A,?,B,A,AX,A,A,B
C,A,EB,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,B,AA,A,A,B
B,A,BN,38.0,76,18,A,A,A,C,A,A,A,A,A,?,A,A,71.0,11.0,A,?,B,A,AR,A,A,A
B,A,MM,38.1,40,36,B,C,C,B,C,C,A,A,A,?,A,A,?,?,A,?,D,A,AZ,A,A,B
B,A,GC,?,52,28,D,D,E,B,D,E,D,C,B,?,E,E,37.0,8.1,A,?,B,A,AI,A,A,B
B,A,LZ,39.2,88,58,E,E,A,C,F,E,A,A,A,?,A,A,?,?,C,2.0,D,B,BE,A,A,B
B,A,MA,38.5,92,40,E,D,A,B,C,E,D,A,A,?,E,A,46.0,67.0,C,2.0,B,A,AQ,A,A,B
B,A,DO,?,112,13,E,E,E,B,C,D,B,C,B,4.5,E,E,60.0,6.3,D,?,B,A,AN,A,A,A
B,A,CB,37.7,66,12,B,B,D,B,D,D,C,C,A,?,E,E,31.5,6.2,C,1.6,B,A,AQ,A,A,A
B,A,MW,38.8,50,14,B,B,B,B,D,B,B,B,B,?,D,F,38.0,58.0,A,?,B,A,AX,A,A,B
C,A,DX,38.4,54,24,B,B,B,B,B,D,B,C,B,?,D,C,49.0,7.2,B,8.0,B,B,AX,A,A,A
B,A,CV,39.2,120,20,E,D,F,C,C,D,D,B,D,?,A,E,60.0,8.8,D,?,C,A,AN,A,A,B
B,B,DY,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,45.0,6.5,C,?,B,A,CJ,A,A,A
B,A,MK,37.3,90,40,D,A,G,C,F,E,D,C,C,?,B,F,65.0,50.0,D,2.0,D,A,BE,A,A,B
B,B,KW,38.5,120,70,A,A,A,A,A,B,A,C,A,?,B,A,35.0,54.0,B,1.0,B,A,BO,D,B,B
B,A,KI,38.5,104,40,D,D,A,B,E,D,E,A,A,?,A,A,?,?,A,?,B,A,AM,A,A,B
C,A,HB,39.5,92,28,D,D,G,B,F,E,B,A,D,?,E,A,72.0,6.4,A,3.6,C,B,BH,A,A,B
B,A,AH,38.5,30,18,A,A,A,A,A,A,A,A,A,?,A,A,40.0,7.7,A,?,B,A,AL,A,A,B
B,A,IK,38.3,72,30,E,D,D,C,D,D,D,C,B,?,D,F,43.0,7.0,C,3.9,B,A,BA,A,A,A
C,A,DL,37.5,48,30,E,B,D,B,A,C,B,B,B,?,B,B,48.0,8.6,A,?,B,B,BJ,A,A,B
B,A,CU,38.1,52,24,B,B,F,B,E,D,B,C,D,7.0,B,A,54.0,7.5,C,2.6,C,A,AO,A,A,A
C,A,CC,38.2,42,26,B,B,B,B,D,B,C,A,A,?,B,A,36.0,6.9,A,?,B,B,AX,A,A,B
C,A,JD,37.9,54,42,C,B,F,B,D,B,B,A,B,?,A,C,47.0,54.0,D,1.0,B,B,AA,A,A,B
C,A,DI,36.1,88,?,D,D,D,B,D,D,C,C,D,?,A,E,45.0,7.0,D,4.8,D,A,AR,A,A,A
B,A,KF,38.1,70,22,A,B,A,B,F,D,A,A,A,?,A,F,36.0,65.0,A,?,D,A,BE,A,A,B
B,A,EM,38.0,90,30,E,D,E,C,F,E,E,A,A,?,E,F,55.0,6.1,A,?,C,A,BE,A,A,B
B,A,EF,38.2,52,16,B,B,C,B,B,C,B,B,B,?,B,A,43.0,8.1,A,?,B,B,AA,A,A,A
B,A,HX,?,36,32,B,B,E,B,F,D,D,C,D,4.0,A,E,41.0,5.9,A,?,C,A,AN,A,A,B
B,A,BW,38.4,92,20,B,A,A,C,A,D,D,A,A,?,B,A,?,?,A,?,B,A,AQ,A,A,A
B,B,EL,38.2,124,88,B,D,C,B,C,D,E,A,A,?,A,A,47.0,8.0,B,?,B,A,CK,A,A,A
C,A,DU,?,96,?,D,D,D,C,F,E,E,A,B,?,E,F,60.0,?,A,?,C,A,BL,A,A,B
B,A,HZ,37.6,68,32,D,A,D,B,E,C,E,C,C,6.5,B,F,47.0,7.2,B,?,B,A,BG,A,A,B
B,A,HJ,38.1,88,24,D,D,E,B,F,E,D,C,B,?,D,E,41.0,4.6,A,?,C,A,AR,A,A,B
B,A,BA,38.0,108,60,C,D,E,B,E,D,D,C,A,?,D,E,?,?,D,?,B,A,AN,A,A,B
C,A,CA,38.2,48,?,C,A,B,C,D,D,B,C,B,?,A,C,34.0,6.6,A,?,B,B,AX,A,A,B
B,A,MB,39.3,100,51,E,E,G,B,C,E,B,B,D,2.0,A,E,66.0,13.0,D,2.0,D,A,AL,A,A,B
C,A,BM,36.6,42,18,D,D,C,B,B,E,B,B,B,?,A,F,52.0,7.1,A,?,C,A,BU,A,A,B
B,B,EO,38.8,124,36,D,B,C,B,C,D,E,B,B,?,E,E,50.0,7.6,D,?,C,A,AQ,A,A,A
C,A,IM,?,112,24,D,D,E,C,F,E,C,A,A,?,E,A,40.0,5.3,D,2.6,B,B,BJ,A,A,A
B,A,JC,?,80,?,D,D,D,B,E,E,E,A,A,?,E,F,43.0,70.0,A,?,B,A,AX,A,A,B
B,B,FE,38.8,184,84,B,A,B,B,E,B,D,A,A,?,C,A,33.0,3.3,A,?,C,A,CC,A,A,B
B,A,JI,37.5,72,?,C,B,B,B,C,B,B,B,B,?,B,A,35.0,65.0,C,2.0,D,A,CE,A,A,B
B,A,GJ,38.7,96,28,D,D,E,B,A,E,A,A,D,7.5,A,A,64.0,9.0,A,?,C,A,AN,A,A,A
C,A,LD,37.5,52,12,B,B,B,B,C,D,C,C,B,?,D,F,36.0,61.0,B,1.0,B,B,AA,A,A,B
B,A,BB,40.8,72,42,D,D,B,B,C,D,B,C,B,?,A,A,54.0,7.4,D,?,C,A,AF,A,A,A
C,A,LV,38.0,40,25,A,B,B,B,E,D,C,B,B,?,E,A,37.0,69.0,A,?,B,B,AA,A,A,B
C,A,ET,38.4,48,16,C,B,B,B,B,A,C,C,B,?,A,C,39.0,6.5,A,?,B,B,AX,A,A,A
C,B,IN,38.6,88,28,A,A,A,A,A,A,A,A,A,?,A,A,35.0,5.9,A,?,B,B,AA,A,A,B
B,A,DN,37.1,75,36,A,A,D,C,E,E,C,C,D,5.0,E,E,48.0,7.4,D,3.2,C,A,AG,A,A,A
B,A,IH,38.3,44,21,D,B,C,B,D,D,D,C,B,?,B,F,44.0,6.5,C,4.4,B,A,AR,A,A,A
C,A,CZ,?,56,68,D,B,B,B,D,D,B,C,B,?,B,A,40.0,6.0,A,?,D,A,BX,A,A,B
C,A,GO,38.6,68,20,C,B,D,B,D,D,C,B,B,?,B,F,38.0,6.5,B,?,B,B,BV,A,A,A
C,A,BF,38.3,54,18,D,B,C,B,C,D,C,A,D,5.4,A,E,44.0,7.2,D,?,B,B,AM,A,A,A
B,A,KL,38.2,42,20,A,A,B,B,A,D,A,A,A,?,D,A,47.0,60.0,A,?,B,B,AA,A,A,B
B,A,BH,39.3,64,90,C,D,B,B,A,D,B,B,C,6.5,B,F,39.0,6.7,A,?,B,A,AY,A,A,B
B,A,CY,37.5,60,50,D,D,B,B,D,D,C,C,C,3.5,D,E,35.0,6.5,A,?,C,A,AR,A,A,B
B,A,LA,37.7,80,?,D,D,G,B,F,E,B,C,D,?,D,B,50.0,55.0,D,2.0,B,A,BP,A,A,B
B,A,GI,?,100,30,D,D,E,C,F,E,E,D,D,?,E,E,52.0,6.6,A,?,B,A,AM,A,A,B
B,A,DD,37.7,120,28,D,D,D,B,F,D,D,B,B,?,A,A,65.0,7.0,D,?,C,A,BO,A,A,A
B,A,KZ,?,76,?,A,D,A,A,A,E,E,A,A,?,A,F,?,?,A,?,D,A,AC,A,A,B
B,B,GA,38.8,150,50,B,D,G,C,F,D,C,B,B,?,A,A,50.0,6.2,A,?,C,A,BQ,A,A,B
B,A,LI,38.0,36,16,D,B,B,B,E,C,C,D,D,2.0,D,A,37.0,75.0,C,1.0,D,B,AX,A,A,B
C,A,DA,36.9,50,40,C,D,D,B,B,D,C,D,B,7.0,A,A,37.5,6.5,A,?,B,B,AX,A,A,B
C,A,BS,37.8,40,16,B,B,B,B,B,B,B,A,A,?,B,B,37.0,6.8,A,?,B,B,AA,A,A,B
C,A,EN,38.2,56,40,E,D,B,B,C,E,D,C,C,7.5,A,A,47.0,7.2,B,2.5,B,B,CG,A,A,A
B,A,LB,38.6,48,12,A,A,B,A,B,B,A,A,A,?,A,A,36.0,67.0,A,?,B,B,AA,A,A,B
C,A,IQ,40.0,78,?,D,D,F,B,C,D,B,B,B,?,E,B,66.0,6.5,A,?,C,A,CH,A,A,A
B,A,AS,?,70,16,D,E,F,C,C,D,C,C,B,?,E,F,60.0,7.5,A,?,C,A,AH,A,A,B
B,A,BD,38.2,72,18,A,A,A,A,A,A,A,A,A,?,A,A,35.0,6.4,A,?,B,A,BC,A,A,B
C,A,IG,38.5,54,?,B,B,B,B,D,B,B,C,B,?,B,A,40.0,6.8,C,7.0,B,B,AA,A,A,A
B,A,CN,38.5,66,24,B,B,B,B,D,D,B,C,B,?,E,F,40.0,6.7,B,?,B,A,AY,A,A,A
C,A,AQ,37.8,82,12,D,B,B,C,E,A,D,B,D,?,A,A,50.0,7.0,A,?,D,A,AN,A,A,B
C,B,IJ,39.5,84,30,A,A,A,B,A,A,A,A,A,?,A,A,28.0,5.0,A,?,B,B,AA,A,A,B
B,A,FC,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,A,AM,A,A,B
B,A,EI,38.0,50,36,A,B,B,B,D,C,C,A,A,?,D,A,39.0,6.6,B,5.3,B,A,CH,A,A,A
C,A,MC,38.6,45,16,C,B,C,B,B,B,A,A,A,?,B,B,43.0,58.0,A,?,B,B,AA,A,A,B
B,A,DT,38.9,80,44,D,D,D,B,C,D,D,C,C,7.0,D,B,54.0,6.5,D,?,C,A,CC,A,A,B
B,A,HD,37.0,66,20,B,D,C,B,E,D,D,B,A,?,B,F,35.0,6.9,C,?,C,A,AY,A,A,B
B,A,JT,?,78,24,D,D,D,B,A,D,A,C,B,?,A,E,43.0,62.0,A,2.0,D,B,AR,A,A,B
C,A,JN,38.5,40,16,B,B,B,B,C,B,B,A,A,?,D,C,37.0,67.0,A,?,B,B,AA,A,A,B
B,A,JK,?,120,70,E,A,E,C,C,E,A,A,A,?,A,F,55.0,65.0,A,?,D,B,BE,A,A,B
C,A,AY,37.2,72,24,D,C,E,C,E,D,D,D,B,?,E,E,44.0,?,D,3.3,D,A,AQ,A,A,A
B,A,EX,37.5,72,30,E,D,E,B,E,E,D,C,B,?,D,F,60.0,6.8,A,?,C,A,BE,A,A,B
B,A,IP,36.5,100,24,D,D,D,B,D,D,D,D,B,?,E,E,50.0,6.0,D,3.4,B,A,AQ,A,A,A
B,A,KY,37.2,40,20,A,A,A,A,A,A,A,A,A,?,E,B,36.0,62.0,B,1.0,D,B,CA,A,A,B
C,A,DB,38.5,54,20,A,B,C,C,D,E,B,C,C,5.9,A,C,42.0,6.3,A,?,B,B,AX,A,A,A
C,A,BO,37.6,48,36,A,A,B,B,A,D,A,A,A,?,A,A,44.0,6.3,B,5.0,B,B,AX,A,A,A
B,A,MO,37.7,44,28,A,E,D,C,F,E,E,B,B,?,D,F,45.0,70.0,D,2.0,B,A,BE,A,A,B
B,A,KS,37.0,56,24,D,B,E,C,E,E,D,B,B,?,A,A,35.0,61.0,D,2.0,D,B,AN,C,A,B
C,A,DW,38.0,42,12,D,A,D,B,B,A,B,A,A,?,A,C,37.0,5.8,A,?,B,B,AX,A,A,B
B,A,LT,?,60,40,D,A,B,B,A,E,A,D,C,?,A,F,42.0,72.0,A,?,B,A,AX,A,A,B
C,A,AU,38.4,80,60,D,C,C,B,D,C,B,C,C,?,B,B,54.0,6.9,A,?,B,B,AA,A,A,B
C,A,BQ,37.8,48,12,C,B,C,B,D,A,B,C,A,?,C,A,48.0,7.3,B,?,B,B,AA,A,A,A
A,A,LK,38.0,65,40,A,B,E,C,C,A,A,A,A,?,A,F,?,?,A,?,A,A,AX,F,A,B
C,A,AQ,37.9,45,36,D,D,D,C,C,D,B,C,B,?,D,A,33.0,5.7,D,?,B,A,AN,A,A,A
C,A,BG,39.0,84,12,D,B,F,B,C,E,C,B,C,7.0,A,E,62.0,5.9,C,2.2,C,A,AQ,A,A,A
C,A,DZ,38.2,60,24,D,B,D,C,D,D,C,D,D,?,E,E,53.0,7.5,C,1.4,B,B,AD,A,A,A
B,A,LS,?,140,?,A,A,E,C,F,E,E,B,B,?,A,F,30.0,69.0,A,?,C,B,CA,A,A,B
B,A,ED,37.9,120,60,D,D,D,B,F,E,E,C,C,7.5,E,F,52.0,6.6,D,1.8,C,A,BE,A,A,A
C,A,BV,38.0,72,36,B,B,D,B,D,A,C,C,B,?,D,F,38.0,6.8,C,2.0,B,B,BC,A,A,A
C,B,EJ,38.0,92,28,B,B,C,B,B,D,C,D,A,7.2,A,A,37.0,6.1,B,1.1,B,B,AA,A,A,A
B,A,FH,38.3,66,30,C,D,B,B,C,E,D,D,C,8.5,E,F,37.0,6.0,A,?,B,A,BU,A,A,B
C,A,GY,37.5,48,24,D,B,B,B,C,B,A,B,B,?,D,C,43.0,6.0,B,2.8,B,B,CC,A,A,A
B,A,HC,37.5,88,20,C,D,D,B,E,D,D,A,A,?,A,A,35.0,6.4,B,?,C,A,AN,A,A,B
C,B,GR,?,150,60,E,E,E,C,F,E,E,A,A,?,A,A,?,?,A,?,C,A,AH,A,A,B
B,A,KQ,39.7,100,30,A,A,G,C,E,E,D,B,A,?,E,F,65.0,75.0,A,?,D,A,BE,A,A,B
B,A,CP,38.3,80,?,D,D,E,C,F,E,D,C,B,?,E,E,45.0,7.5,C,4.6,B,A,BG,A,A,A
C,A,HG,37.5,40,32,D,B,D,B,D,C,D,C,B,?,A,F,32.0,6.4,B,1.1,B,A,BC,A,A,A
B,A,HL,38.4,84,30,D,B,F,C,E,D,D,C,D,6.5,E,E,47.0,7.5,D,?,C,A,BZ,A,A,B
B,A,II,38.1,84,44,E,A,E,C,F,D,B,B,D,5.0,A,E,60.0,6.8,A,5.7,C,A,AR,A,A,A
C,A,FN,38.7,52,?,B,B,B,B,B,D,B,A,A,?,B,D,4.0,74.0,A,?,B,B,AA,A,A,B
C,A,FO,38.1,44,40,C,B,D,B,D,D,B,A,A,?,B,D,35.0,6.8,A,?,B,B,AA,A,A,B
C,A,KM,38.4,52,20,C,B,D,B,B,D,C,C,B,?,D,F,41.0,63.0,B,1.0,B,B,AA,A,A,B
B,A,FS,38.2,60,?,B,A,D,B,C,B,B,B,B,?,E,E,43.0,6.2,C,3.9,B,A,AO,A,A,A
C,A,CQ,37.7,40,18,B,B,B,A,D,C,B,B,B,?,D,D,36.0,3.5,A,?,B,B,BJ,A,A,B
B,A,LP,39.1,60,10,A,B,B,A,C,D,A,A,A,?,E,E,?,?,A,?,B,A,AL,A,A,B
C,A,FQ,37.8,48,16,B,B,B,B,A,B,B,C,B,?,E,D,43.0,7.5,A,?,B,B,AA,A,A,B
B,A,AG,39.0,120,?,E,D,F,C,C,E,D,C,D,8.0,A,A,65.0,8.2,D,4.6,B,B,BT,A,A,B
B,A,GF,38.2,76,?,C,D,C,B,F,D,D,B,C,6.0,B,F,35.0,6.5,C,0.9,B,A,BE,A,A,A
C,A,CM,38.3,88,?,A,A,G,A,A,A,A,A,A,?,A,A,?,?,A,?,C,B,AS,A,A,B
B,A,GS,38.0,80,30,D,D,D,B,A,A,A,A,A,6.0,A,A,48.0,8.3,A,4.3,B,A,AI,A,A,B
B,A,BE,?,?,?,D,B,B,B,C,D,D,B,D,6.0,E,E,?,?,C,?,C,A,AL,A,A,A
B,A,BY,37.6,40,?,B,B,B,B,B,B,B,A,A,?,B,B,?,?,C,2.1,B,A,AY,A,A,A
C,A,IT,37.5,44,?,B,B,B,B,D,D,C,A,A,?,A,A,45.0,5.8,C,1.4,B,B,AX,A,A,A
C,A,JM,38.2,42,16,B,B,D,B,B,D,B,A,A,?,B,A,35.0,60.0,B,1.0,B,B,AA,A,A,B
C,A,JF,38.0,56,44,D,D,D,A,A,B,B,C,B,?,E,A,47.0,70.0,C,1.0,B,B,AA,A,A,B
C,A,AV,38.3,45,20,D,D,C,C,C,E,B,C,A,?,E,A,?,?,A,?,B,B,AA,A,A,B
B,A,AH,?,48,96,B,B,D,B,A,E,B,C,B,?,B,E,42.0,8.0,B,?,B,A,AQ,A,A,B
B,A,CH,37.7,55,28,C,B,C,B,C,D,D,A,D,5.0,E,F,?,?,A,?,B,A,BG,A,A,B
