@RELATION horse-colic

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C, D, E, F}
@ATTRIBUTE feature_11 {A, B, C, D, E}
@ATTRIBUTE feature_12 {A, B, C, D, E}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 REAL
@ATTRIBUTE feature_16 {A, B, C, D, E}
@ATTRIBUTE feature_17 {A, B, C, D, E, F}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 {A, B, C, D}
@ATTRIBUTE feature_21 REAL
@ATTRIBUTE feature_22 {A, B, C, D}
@ATTRIBUTE class {A, B}

@DATA
B,A,39.5,92.0,28.0,C,E,D,B,C,B,C,A,B,?,B,A,72.0,6.4,A,3.6,B,A
C,A,38.5,30.0,18.0,A,A,A,A,A,A,A,A,A,?,A,A,40.0,7.7,A,?,D,B
C,A,38.3,72.0,30.0,B,E,G,C,E,D,B,D,D,?,C,B,43.0,7.0,C,3.9,D,B
B,A,37.5,48.0,30.0,B,D,G,B,A,E,C,B,D,?,E,E,48.0,8.6,A,?,D,A
C,A,38.1,52.0,24.0,D,D,C,B,F,D,C,D,B,7.0,E,A,54.0,7.5,C,2.6,B,B
B,A,38.2,42.0,26.0,D,D,E,B,E,C,E,A,A,?,E,A,36.0,6.9,A,?,D,A
B,A,37.9,54.0,42.0,E,D,C,B,E,C,C,A,D,?,A,F,47.0,54.0,D,1.0,D,A
B,A,36.1,88.0,?,C,E,G,B,E,D,E,D,B,?,A,C,45.0,7.0,D,4.8,C,B
C,A,38.1,70.0,22.0,A,D,A,B,C,D,A,A,A,?,A,B,36.0,65.0,A,?,C,B
C,A,38.0,90.0,30.0,B,E,F,C,C,B,D,A,A,?,B,B,55.0,6.1,A,?,B,B
C,A,38.2,52.0,16.0,D,D,B,B,B,E,C,B,D,?,E,A,43.0,8.1,A,?,D,A
C,A,?,36.0,32.0,D,D,F,B,C,D,B,D,B,4.0,A,C,41.0,5.9,A,?,B,B
C,A,38.4,92.0,20.0,D,A,A,C,A,D,B,A,A,?,E,A,?,?,A,?,D,B
C,B,38.2,124.0,88.0,D,E,B,B,D,D,D,A,A,?,A,A,47.0,8.0,B,?,D,B
B,A,?,96.0,?,C,E,G,C,C,B,D,A,D,?,B,B,60.0,?,A,?,B,B
C,A,37.6,68.0,32.0,C,A,G,B,F,E,D,D,C,6.5,E,B,47.0,7.2,B,?,D,B
C,A,38.1,88.0,24.0,C,E,F,B,C,B,B,D,D,?,C,C,41.0,4.6,A,?,B,B
C,A,38.0,108.0,60.0,E,E,F,B,F,D,B,D,A,?,C,C,?,?,D,?,D,B
B,A,38.2,48.0,?,E,A,E,C,E,D,C,D,D,?,A,F,34.0,6.6,A,?,D,A
C,A,39.3,100.0,51.0,B,B,D,B,D,B,C,B,B,2.0,A,C,66.0,13.0,D,2.0,C,B
B,A,36.6,42.0,18.0,C,E,B,B,B,B,C,B,D,?,A,B,52.0,7.1,A,?,B,B
C,B,38.8,124.0,36.0,C,D,B,B,D,D,D,B,D,?,B,C,50.0,7.6,D,?,B,B
B,A,?,112.0,24.0,C,E,F,C,C,B,E,A,A,?,B,A,40.0,5.3,D,2.6,D,A
C,A,?,80.0,?,C,E,G,B,F,B,D,A,A,?,B,B,43.0,70.0,A,?,D,B
C,B,38.8,184.0,84.0,D,A,E,B,F,C,B,A,A,?,D,A,33.0,3.3,A,?,B,B
C,A,37.5,72.0,?,E,D,E,B,D,C,C,B,D,?,E,A,35.0,65.0,C,2.0,C,B
C,A,38.7,96.0,28.0,C,E,F,B,A,B,A,A,B,7.5,A,A,64.0,9.0,A,?,B,B
B,A,37.5,52.0,12.0,D,D,E,B,D,D,E,D,D,?,C,B,36.0,61.0,B,1.0,D,A
C,A,40.8,72.0,42.0,C,E,E,B,D,D,C,D,D,?,A,A,54.0,7.4,D,?,B,B
B,A,38.0,40.0,25.0,A,D,E,B,F,D,E,B,D,?,B,A,37.0,69.0,A,?,D,A
B,A,38.4,48.0,16.0,E,D,E,B,B,A,E,D,D,?,A,F,39.0,6.5,A,?,D,A
B,B,38.6,88.0,28.0,A,A,A,A,A,A,A,A,A,?,A,A,35.0,5.9,A,?,D,A
C,A,37.1,75.0,36.0,A,A,G,C,F,B,E,D,B,5.0,B,C,48.0,7.4,D,3.2,B,B
C,A,38.3,44.0,21.0,C,D,B,B,E,D,B,D,D,?,E,B,44.0,6.5,C,4.4,D,B
B,A,?,56.0,68.0,C,D,E,B,E,D,C,D,D,?,E,A,40.0,6.0,A,?,C,B
B,A,38.6,68.0,20.0,E,D,G,B,E,D,E,B,D,?,E,B,38.0,6.5,B,?,D,A
B,A,38.3,54.0,18.0,C,D,B,B,D,D,E,A,B,5.4,A,C,44.0,7.2,D,?,D,A
C,A,38.2,42.0,20.0,A,A,E,B,A,D,A,A,A,?,C,A,47.0,60.0,A,?,D,A
C,A,39.3,64.0,90.0,E,E,E,B,A,D,C,B,C,6.5,E,B,39.0,6.7,A,?,D,B
C,A,37.5,60.0,50.0,C,E,E,B,E,D,E,D,C,3.5,C,C,35.0,6.5,A,?,B,B
C,A,37.7,80.0,?,C,E,D,B,C,B,C,D,B,?,C,E,50.0,55.0,D,2.0,D,B
C,A,?,100.0,30.0,C,E,F,C,C,B,D,C,B,?,B,C,52.0,6.6,A,?,D,B
C,A,37.7,120.0,28.0,C,E,G,B,C,D,B,B,D,?,A,A,65.0,7.0,D,?,B,B
C,A,?,76.0,?,A,E,A,A,A,B,D,A,A,?,A,B,?,?,A,?,C,B
C,B,38.8,150.0,50.0,D,E,D,C,C,D,E,B,D,?,A,A,50.0,6.2,A,?,B,B
C,A,38.0,36.0,16.0,C,D,E,B,F,E,E,C,B,2.0,C,A,37.0,75.0,C,1.0,C,A
B,A,36.9,50.0,40.0,E,E,G,B,B,D,E,C,D,7.0,A,A,37.5,6.5,A,?,D,A
B,A,37.8,40.0,16.0,D,D,E,B,B,C,C,A,A,?,E,E,37.0,6.8,A,?,D,A
B,A,38.2,56.0,40.0,B,E,E,B,D,B,B,D,C,7.5,A,A,47.0,7.2,B,2.5,D,A
C,A,38.6,48.0,12.0,A,A,E,A,B,C,A,A,A,?,A,A,36.0,67.0,A,?,D,A
B,A,40.0,78.0,?,C,E,C,B,D,D,C,B,D,?,B,E,66.0,6.5,A,?,B,B
C,A,?,70.0,16.0,C,B,C,C,D,D,E,D,D,?,B,B,60.0,7.5,A,?,B,B
C,A,38.2,72.0,18.0,A,A,A,A,A,A,A,A,A,?,A,A,35.0,6.4,A,?,D,B
B,A,38.5,54.0,?,D,D,E,B,E,C,C,D,D,?,E,A,40.0,6.8,C,7.0,D,A
C,A,38.5,66.0,24.0,D,D,E,B,E,D,C,D,D,?,B,B,40.0,6.7,B,?,D,B
B,A,37.8,82.0,12.0,C,D,E,C,F,A,B,B,B,?,A,A,50.0,7.0,A,?,C,B
B,B,39.5,84.0,30.0,A,A,A,B,A,A,A,A,A,?,A,A,28.0,5.0,A,?,D,A
C,A,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,D,B
C,A,38.0,50.0,36.0,A,D,E,B,E,E,E,A,A,?,C,A,39.0,6.6,B,5.3,D,B
B,A,38.6,45.0,16.0,E,D,B,B,B,C,A,A,A,?,E,E,43.0,58.0,A,?,D,A
C,A,38.9,80.0,44.0,C,E,G,B,D,D,B,D,C,7.0,C,E,54.0,6.5,D,?,B,B
C,A,37.0,66.0,20.0,D,E,B,B,F,D,B,B,A,?,E,B,35.0,6.9,C,?,B,B
C,A,?,78.0,24.0,C,E,G,B,A,D,A,D,D,?,A,C,43.0,62.0,A,2.0,C,A
B,A,38.5,40.0,16.0,D,D,E,B,D,C,C,A,A,?,C,F,37.0,67.0,A,?,D,A
C,A,?,120.0,70.0,B,A,F,C,D,B,A,A,A,?,A,B,55.0,65.0,A,?,C,A
B,A,37.2,72.0,24.0,C,C,F,C,F,D,B,C,D,?,B,C,44.0,?,D,3.3,C,B
C,A,37.5,72.0,30.0,B,E,F,B,F,B,B,D,D,?,C,B,60.0,6.8,A,?,B,B
C,A,36.5,100.0,24.0,C,E,G,B,E,D,B,C,D,?,B,C,50.0,6.0,D,3.4,D,B
C,A,37.2,40.0,20.0,A,A,A,A,A,A,A,A,A,?,B,E,36.0,62.0,B,1.0,C,A
B,A,38.5,54.0,20.0,A,D,B,C,E,B,C,D,C,5.9,A,F,42.0,6.3,A,?,D,A
B,A,37.6,48.0,36.0,A,A,E,B,A,D,A,A,A,?,A,A,44.0,6.3,B,5.0,D,A
C,A,37.7,44.0,28.0,A,B,G,C,C,B,D,B,D,?,C,B,45.0,70.0,D,2.0,D,B
C,A,37.0,56.0,24.0,C,D,F,C,F,B,B,B,D,?,A,A,35.0,61.0,D,2.0,C,A
B,A,38.0,42.0,12.0,C,A,G,B,B,A,C,A,A,?,A,F,37.0,5.8,A,?,D,A
C,A,?,60.0,40.0,C,A,E,B,A,B,A,C,C,?,A,B,42.0,72.0,A,?,D,B
B,A,38.4,80.0,60.0,C,C,B,B,E,E,C,D,C,?,E,E,54.0,6.9,A,?,D,A
B,A,37.8,48.0,12.0,E,D,B,B,E,A,C,D,A,?,D,A,48.0,7.3,B,?,D,A
A,A,38.0,65.0,40.0,A,D,F,C,D,A,A,A,A,?,A,B,?,?,A,?,A,B
B,A,37.9,45.0,36.0,C,E,G,C,D,D,C,D,D,?,C,A,33.0,5.7,D,?,D,B
B,A,39.0,84.0,12.0,C,D,C,B,D,B,E,B,C,7.0,A,C,62.0,5.9,C,2.2,B,B
B,A,38.2,60.0,24.0,C,D,G,C,E,D,E,C,B,?,B,C,53.0,7.5,C,1.4,D,A
C,A,?,140.0,?,A,A,F,C,C,B,D,B,D,?,A,B,30.0,69.0,A,?,B,A
C,A,37.9,120.0,60.0,C,E,G,B,C,B,D,D,C,7.5,B,B,52.0,6.6,D,1.8,B,B
B,A,38.0,72.0,36.0,D,D,G,B,E,A,E,D,D,?,C,B,38.0,6.8,C,2.0,D,A
B,B,38.0,92.0,28.0,D,D,B,B,B,D,E,C,A,7.2,A,A,37.0,6.1,B,1.1,D,A
C,A,38.3,66.0,30.0,E,E,E,B,D,B,B,C,C,8.5,B,B,37.0,6.0,A,?,D,B
B,A,37.5,48.0,24.0,C,D,E,B,D,C,A,B,D,?,C,F,43.0,6.0,B,2.8,D,A
C,A,37.5,88.0,20.0,E,E,G,B,F,D,B,A,A,?,A,A,35.0,6.4,B,?,B,B
B,B,?,150.0,60.0,B,B,F,C,C,B,D,A,A,?,A,A,?,?,A,?,B,B
C,A,39.7,100.0,30.0,A,A,D,C,F,B,B,B,A,?,B,B,65.0,75.0,A,?,C,B
C,A,38.3,80.0,?,C,E,F,C,C,B,B,D,D,?,B,C,45.0,7.5,C,4.6,D,B
B,A,37.5,40.0,32.0,C,D,G,B,E,E,B,D,D,?,A,B,32.0,6.4,B,1.1,D,B
C,A,38.4,84.0,30.0,C,D,C,C,F,D,B,D,B,6.5,B,C,47.0,7.5,D,?,B,B
C,A,38.1,84.0,44.0,B,A,F,C,C,D,C,B,B,5.0,A,C,60.0,6.8,A,5.7,B,B
B,A,38.7,52.0,?,D,D,E,B,B,D,C,A,A,?,E,D,4.0,74.0,A,?,D,A
B,A,38.1,44.0,40.0,E,D,G,B,E,D,C,A,A,?,E,D,35.0,6.8,A,?,D,A
B,A,38.4,52.0,20.0,E,D,G,B,B,D,E,D,D,?,C,B,41.0,63.0,B,1.0,D,A
C,A,38.2,60.0,?,D,A,G,B,D,C,C,B,D,?,B,C,43.0,6.2,C,3.9,D,B
B,A,37.7,40.0,18.0,D,D,E,A,E,E,C,B,D,?,C,D,36.0,3.5,A,?,D,A
C,A,39.1,60.0,10.0,A,D,E,A,D,D,A,A,A,?,B,C,?,?,A,?,D,B
B,A,37.8,48.0,16.0,D,D,E,B,A,C,C,D,D,?,B,D,43.0,7.5,A,?,D,A
C,A,39.0,120.0,?,B,E,C,C,D,B,B,D,B,8.0,A,A,65.0,8.2,D,4.6,D,A
C,A,38.2,76.0,?,E,E,B,B,C,D,B,B,C,6.0,E,B,35.0,6.5,C,0.9,D,B
B,A,38.3,88.0,?,A,A,D,A,A,A,A,A,A,?,A,A,?,?,A,?,B,A
C,A,38.0,80.0,30.0,C,E,G,B,A,A,A,A,A,6.0,A,A,48.0,8.3,A,4.3,D,B
C,A,?,?,?,C,D,E,B,D,D,B,B,B,6.0,B,C,?,?,C,?,B,B
C,A,37.6,40.0,?,D,D,E,B,B,C,C,A,A,?,E,E,?,?,C,2.1,D,B
B,A,37.5,44.0,?,D,D,E,B,E,D,E,A,A,?,A,A,45.0,5.8,C,1.4,D,A
B,A,38.2,42.0,16.0,D,D,G,B,B,D,C,A,A,?,E,A,35.0,60.0,B,1.0,D,A
B,A,38.0,56.0,44.0,C,E,G,A,A,C,C,D,D,?,B,A,47.0,70.0,C,1.0,D,A
B,A,38.3,45.0,20.0,C,E,B,C,D,B,C,D,A,?,B,A,?,?,A,?,D,A
C,A,?,48.0,96.0,D,D,G,B,A,B,C,D,D,?,E,C,42.0,8.0,B,?,D,B
C,A,37.7,55.0,28.0,E,D,B,B,D,D,B,A,B,5.0,B,B,?,?,A,?,D,B
B,A,36.0,100.0,20.0,B,E,D,C,D,B,B,B,D,?,B,B,74.0,5.7,C,2.5,C,B
C,A,37.1,60.0,20.0,E,A,F,B,E,A,B,A,C,5.0,C,C,64.0,8.5,C,?,D,B
B,A,37.1,114.0,40.0,C,A,G,C,D,E,C,A,A,?,A,D,32.0,?,D,6.5,D,A
C,A,38.1,72.0,30.0,C,E,G,B,F,B,B,D,D,?,C,B,37.0,56.0,D,1.0,D,B
C,A,37.0,44.0,12.0,C,D,E,C,B,C,C,A,A,?,B,F,40.0,6.7,D,8.0,D,B
C,A,38.6,48.0,20.0,C,D,E,B,F,D,C,A,A,?,C,A,37.0,75.0,A,?,D,B
C,A,?,82.0,72.0,C,D,F,B,D,D,B,A,B,?,B,C,53.0,65.0,D,2.0,C,B
C,B,38.2,78.0,60.0,B,B,D,A,E,D,B,A,A,?,E,A,59.0,5.8,D,3.1,B,B
B,A,37.8,60.0,16.0,D,D,G,B,D,D,E,B,C,?,C,A,41.0,73.0,A,?,C,A
C,A,38.7,34.0,30.0,E,A,G,B,D,D,A,A,A,?,A,A,33.0,69.0,A,2.0,C,B
C,A,?,36.0,12.0,D,D,E,B,B,E,C,B,D,?,E,B,44.0,?,A,?,D,B
B,A,38.3,44.0,60.0,A,A,E,B,A,A,A,A,A,?,A,A,6.4,36.0,A,?,D,B
B,A,37.4,54.0,18.0,C,A,E,B,E,B,B,D,C,?,B,B,30.0,7.1,C,?,D,B
C,A,?,?,?,B,E,A,C,D,B,C,A,A,?,A,A,54.0,76.0,D,2.0,D,B
C,A,36.6,48.0,16.0,C,D,G,B,F,C,C,B,D,?,A,A,27.0,56.0,A,?,C,B
C,A,38.5,90.0,?,D,D,G,B,E,D,B,D,B,2.0,B,B,47.0,79.0,A,?,D,B
C,A,?,75.0,12.0,D,D,F,B,C,D,B,A,B,5.8,A,A,58.0,8.5,B,?,D,B
B,A,38.2,42.0,?,C,D,E,B,B,C,E,D,D,?,C,F,35.0,5.9,C,?,D,A
C,B,38.2,78.0,60.0,B,B,D,A,E,D,B,A,A,?,E,A,59.0,5.8,D,3.1,B,B
B,A,38.6,60.0,30.0,D,D,G,B,F,E,E,B,D,?,A,A,40.0,6.0,B,?,D,B
B,A,37.8,42.0,40.0,D,D,E,B,B,D,C,A,A,?,C,D,36.0,6.2,A,?,D,A
C,A,38.0,60.0,12.0,D,D,B,B,D,C,C,B,D,?,E,C,44.0,65.0,D,2.0,C,B
B,A,38.0,42.0,12.0,C,A,G,B,B,C,C,A,A,?,A,E,37.0,5.8,A,?,D,A
B,A,37.6,88.0,36.0,C,D,E,B,E,D,E,B,B,1.5,A,A,44.0,6.0,A,?,B,B
% 
% 
% 
