@RELATION credit-rating

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C, D}
@ATTRIBUTE feature_06 {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O}
@ATTRIBUTE feature_07 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B}
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C}
@ATTRIBUTE feature_14 REAL
@ATTRIBUTE feature_15 REAL
@ATTRIBUTE class {A, B}

@DATA
C,22.17,12.125,C,B,C,I,3.335,A,B,2.0,B,A,180.0,173.0,B
B,57.58,2.0,C,B,G,D,6.5,A,B,1.0,A,A,0.0,10.0,B
C,18.25,0.165,C,B,E,I,0.25,A,A,0.0,B,C,280.0,0.0,B
C,23.42,1.0,C,B,C,I,0.5,A,A,0.0,B,C,280.0,0.0,B
B,15.92,2.875,C,B,L,I,0.085,A,A,0.0,A,A,120.0,0.0,B
B,24.75,13.665,C,B,L,E,1.5,A,A,0.0,A,A,280.0,1.0,B
C,48.75,26.335,D,D,G,D,0.0,B,A,0.0,B,A,0.0,0.0,B
C,23.5,2.75,C,B,G,D,4.5,A,A,0.0,A,A,160.0,25.0,B
C,18.58,10.29,C,B,G,D,0.415,A,A,0.0,A,A,80.0,0.0,B
C,27.75,1.29,C,B,J,E,0.25,A,A,0.0,B,C,140.0,0.0,B
B,31.75,3.0,D,D,I,F,0.0,A,A,0.0,A,A,160.0,20.0,B
B,24.83,4.5,C,B,N,I,1.0,A,A,0.0,B,A,360.0,6.0,B
C,19.0,1.75,D,D,C,I,2.335,A,A,0.0,B,A,112.0,6.0,B
B,16.33,0.21,C,B,B,I,0.125,A,A,0.0,A,A,200.0,1.0,B
B,18.58,10.0,C,B,E,I,0.415,A,A,0.0,A,A,80.0,42.0,B
C,16.25,0.0,D,D,B,I,0.25,A,A,0.0,A,A,60.0,0.0,B
C,23.0,0.75,C,B,K,I,0.5,B,A,0.0,B,C,320.0,0.0,B
C,21.17,0.25,D,D,C,E,0.25,A,A,0.0,A,A,280.0,204.0,B
C,17.5,22.0,B,C,G,H,0.0,A,A,0.0,B,B,450.0,100000.0,A
C,19.17,0.0,D,D,K,B,0.0,A,A,0.0,B,C,500.0,1.0,A
C,36.75,0.125,D,D,C,I,1.5,A,A,0.0,B,A,232.0,113.0,A
C,21.25,1.5,C,B,N,I,1.5,A,A,0.0,A,A,150.0,8.0,A
B,18.08,0.375,B,C,D,D,10.0,A,A,0.0,B,C,300.0,0.0,A
B,33.67,0.375,C,B,D,I,0.375,A,A,0.0,A,A,300.0,44.0,A
C,48.58,0.205,D,D,J,I,0.25,B,B,11.0,A,A,380.0,2732.0,A
C,33.67,1.25,C,B,N,I,1.165,A,A,0.0,A,A,120.0,0.0,B
B,29.5,1.085,D,D,O,I,1.0,A,A,0.0,A,A,280.0,13.0,B
C,30.17,1.085,D,D,C,I,0.04,A,A,0.0,A,A,170.0,179.0,B
A,40.83,3.5,C,B,H,B,0.5,A,A,0.0,A,C,1160.0,0.0,B
C,34.83,2.5,D,D,N,I,3.0,A,A,0.0,A,C,200.0,0.0,B
C,?,4.0,D,D,H,I,0.085,A,A,0.0,B,A,411.0,0.0,B
C,20.42,0.0,A,A,A,A,0.0,A,A,0.0,A,B,?,0.0,B
B,33.25,2.5,D,D,C,I,2.5,A,A,0.0,B,A,0.0,2.0,B
C,34.08,2.5,C,B,C,I,1.0,A,A,0.0,A,A,460.0,16.0,B
B,25.25,12.5,C,B,E,I,1.0,A,A,0.0,B,A,180.0,1062.0,B
C,34.75,2.5,C,B,D,B,0.5,A,A,0.0,A,A,348.0,0.0,B
C,27.67,0.75,C,B,L,E,0.165,A,A,0.0,B,A,220.0,251.0,B
C,47.33,6.5,C,B,C,I,1.0,A,A,0.0,B,A,0.0,228.0,B
B,34.83,1.25,D,D,H,E,0.5,A,A,0.0,B,A,160.0,0.0,B
B,33.25,3.0,D,D,B,I,2.0,A,A,0.0,A,A,180.0,0.0,B
C,28.0,3.0,C,B,N,I,0.75,A,A,0.0,B,A,300.0,67.0,B
B,39.08,4.0,C,B,C,I,3.0,A,A,0.0,A,A,480.0,0.0,B
C,42.75,4.085,C,B,B,I,0.04,A,A,0.0,A,A,108.0,100.0,B
C,26.92,2.25,C,B,H,B,0.5,A,A,0.0,B,A,640.0,4000.0,B
C,33.75,2.75,C,B,H,B,0.0,A,A,0.0,A,A,180.0,0.0,B
C,38.92,1.75,C,B,J,I,0.5,A,A,0.0,B,A,300.0,2.0,B
C,62.75,7.0,C,B,F,J,0.0,A,A,0.0,A,A,0.0,12.0,B
A,32.25,1.5,C,B,C,I,0.25,A,A,0.0,B,A,372.0,122.0,B
C,26.75,4.5,D,D,C,B,2.5,A,A,0.0,A,A,200.0,1210.0,B
C,63.33,0.54,C,B,C,I,0.585,B,B,3.0,B,A,180.0,0.0,B
C,27.83,1.5,C,B,N,I,2.25,A,B,1.0,B,A,100.0,3.0,B
B,26.17,2.0,C,B,I,F,0.0,A,A,0.0,B,A,276.0,1.0,B
C,22.17,0.585,D,D,G,D,0.0,A,A,0.0,A,A,100.0,0.0,B
C,22.5,11.5,D,D,K,I,1.5,A,A,0.0,B,A,0.0,4000.0,B
C,30.75,1.585,C,B,E,I,0.585,A,A,0.0,B,C,0.0,0.0,B
C,36.67,2.0,C,B,H,I,0.25,A,A,0.0,B,A,221.0,0.0,B
B,16.0,0.165,C,B,B,I,1.0,A,B,2.0,B,A,320.0,1.0,B
C,41.17,1.335,C,B,E,I,0.165,A,A,0.0,A,A,168.0,0.0,B
B,19.5,0.165,C,B,L,I,0.04,A,A,0.0,B,A,380.0,0.0,B
C,32.42,3.0,C,B,E,I,0.165,A,A,0.0,B,A,120.0,0.0,B
B,36.75,4.71,C,B,G,D,0.0,A,A,0.0,A,A,160.0,0.0,B
B,30.25,5.5,C,B,J,I,5.5,A,A,0.0,B,C,100.0,0.0,B
C,23.08,2.5,C,B,G,D,0.085,A,A,0.0,B,A,100.0,4208.0,B
C,26.83,0.54,C,B,J,D,0.0,A,A,0.0,A,A,100.0,0.0,B
C,16.92,0.335,D,D,J,I,0.29,A,A,0.0,A,C,200.0,0.0,B
C,24.42,2.0,C,B,F,C,0.165,A,B,2.0,A,A,320.0,1300.0,B
C,42.83,1.25,C,B,K,I,13.875,A,B,1.0,B,A,352.0,112.0,B
B,22.75,6.165,C,B,B,I,0.165,A,A,0.0,A,A,220.0,1000.0,B
C,39.42,1.71,D,D,K,I,0.165,A,A,0.0,A,C,400.0,0.0,B
B,23.58,11.5,D,D,J,E,3.0,A,A,0.0,B,A,20.0,16.0,B
C,21.42,0.75,D,D,M,G,0.75,A,A,0.0,B,A,132.0,2.0,B
C,33.0,2.5,D,D,N,I,7.0,A,A,0.0,B,A,280.0,0.0,B
C,26.33,13.0,C,B,F,C,0.0,A,A,0.0,B,A,140.0,1110.0,B
B,45.0,4.585,C,B,J,E,1.0,A,A,0.0,B,C,240.0,0.0,B
C,26.25,1.54,C,B,N,I,0.125,A,A,0.0,A,A,100.0,0.0,B
A,28.17,0.585,C,B,B,I,0.04,A,A,0.0,A,A,260.0,1004.0,B
B,20.83,0.5,D,D,F,C,1.0,A,A,0.0,A,A,260.0,0.0,B
C,28.67,14.5,C,B,E,I,0.125,A,A,0.0,A,A,0.0,286.0,B
C,20.67,0.835,D,D,C,I,2.0,A,A,0.0,B,C,240.0,0.0,B
C,34.42,1.335,C,B,H,B,0.125,A,A,0.0,B,A,440.0,4500.0,B
C,33.58,0.25,C,B,H,B,4.0,A,A,0.0,B,C,420.0,0.0,B
C,43.17,5.0,C,B,H,B,2.25,A,A,0.0,B,A,141.0,0.0,B
B,22.67,7.0,C,B,C,I,0.165,A,A,0.0,A,A,160.0,0.0,B
B,24.33,2.5,D,D,H,B,4.5,A,A,0.0,A,A,200.0,456.0,B
B,56.83,4.25,D,D,G,D,5.0,A,A,0.0,B,A,0.0,4.0,B
C,22.08,11.46,C,B,J,I,1.585,A,A,0.0,B,A,100.0,1212.0,B
C,34.0,5.5,D,D,C,I,1.5,A,A,0.0,B,A,60.0,0.0,B
C,22.58,1.5,D,D,B,I,0.54,A,A,0.0,B,A,120.0,67.0,B
C,21.17,0.0,C,B,C,I,0.5,A,A,0.0,B,C,0.0,0.0,B
C,26.67,14.585,C,B,H,B,0.0,A,A,0.0,B,A,178.0,0.0,B
C,22.92,0.17,C,B,K,I,0.085,A,A,0.0,A,C,0.0,0.0,B
C,15.17,7.0,C,B,F,I,1.0,A,A,0.0,A,A,600.0,0.0,B
C,39.92,5.0,C,B,H,B,0.21,A,A,0.0,A,A,550.0,0.0,B
C,27.42,12.5,C,B,B,B,0.25,A,A,0.0,B,A,720.0,0.0,B
C,24.75,0.54,C,B,K,I,1.0,A,A,0.0,B,A,120.0,1.0,B
C,41.17,1.25,D,D,N,I,0.25,A,A,0.0,A,A,0.0,195.0,B
B,33.08,1.625,C,B,E,I,0.54,A,A,0.0,B,A,0.0,0.0,B
C,29.83,2.04,D,D,O,E,0.04,A,A,0.0,A,A,128.0,1.0,B
B,23.58,0.585,D,D,G,D,0.125,A,A,0.0,A,A,120.0,87.0,B
C,26.17,12.5,D,D,J,E,1.25,A,A,0.0,B,A,0.0,17.0,B
C,31.0,2.085,C,B,C,I,0.085,A,A,0.0,A,A,300.0,0.0,B
C,20.75,5.085,D,D,I,I,0.29,A,A,0.0,A,A,140.0,184.0,B
C,28.92,0.375,C,B,C,I,0.29,A,A,0.0,A,A,220.0,140.0,B
B,51.92,6.5,C,B,H,B,3.085,A,A,0.0,B,A,73.0,0.0,B
B,22.67,0.335,C,B,L,I,0.75,A,A,0.0,A,C,160.0,0.0,B
C,34.0,5.085,D,D,H,B,1.085,A,A,0.0,B,A,480.0,0.0,B
B,69.5,6.0,C,B,G,D,0.0,A,A,0.0,A,C,0.0,0.0,B
B,40.33,8.125,D,D,J,I,0.165,A,B,2.0,A,A,?,18.0,B
B,19.58,0.665,D,D,C,I,1.0,A,B,1.0,A,A,2000.0,2.0,B
C,16.0,3.125,C,B,N,I,0.085,A,B,1.0,A,A,0.0,6.0,B
C,17.08,0.25,C,B,L,I,0.335,A,B,4.0,A,A,160.0,8.0,B
C,31.25,2.835,C,B,G,D,0.0,A,B,5.0,A,A,176.0,146.0,B
C,25.17,3.0,C,B,C,I,1.25,A,B,1.0,A,A,0.0,22.0,B
B,22.67,0.79,C,B,H,I,0.085,A,A,0.0,A,A,144.0,0.0,B
C,40.58,1.5,C,B,H,B,0.0,A,A,0.0,A,C,300.0,0.0,B
C,22.25,0.46,C,B,J,I,0.125,A,A,0.0,B,A,280.0,55.0,B
B,22.25,1.25,D,D,G,D,3.25,A,A,0.0,A,A,280.0,0.0,B
C,22.5,0.125,D,D,J,I,0.125,A,A,0.0,A,A,200.0,70.0,B
C,23.58,1.79,C,B,C,I,0.54,A,A,0.0,B,A,136.0,1.0,B
C,38.42,0.705,C,B,C,I,0.375,A,B,2.0,A,A,225.0,500.0,B
B,26.58,2.54,D,D,G,D,0.0,A,A,0.0,B,A,180.0,60.0,B
C,35.0,2.5,C,B,H,I,1.0,A,A,0.0,B,A,210.0,0.0,B
C,20.42,1.085,C,B,L,I,1.5,A,A,0.0,A,A,108.0,7.0,B
C,29.42,1.25,C,B,N,I,1.75,A,A,0.0,A,A,200.0,0.0,B
C,26.17,0.835,C,B,D,I,1.165,A,A,0.0,A,A,100.0,0.0,B
C,33.67,2.165,C,B,C,I,1.5,A,A,0.0,A,B,120.0,0.0,B
C,24.58,1.25,C,B,C,I,0.25,A,A,0.0,A,A,110.0,0.0,B
B,27.67,2.04,C,B,N,I,0.25,A,A,0.0,B,A,180.0,50.0,B
C,37.5,0.835,C,B,F,I,0.04,A,A,0.0,A,A,120.0,5.0,B
C,49.17,2.29,C,B,G,D,0.29,A,A,0.0,A,A,200.0,3.0,B
C,33.58,0.335,D,D,D,I,0.085,A,A,0.0,A,A,180.0,0.0,B
C,51.83,3.0,D,D,G,D,1.5,A,A,0.0,A,A,180.0,4.0,B
C,22.92,3.165,D,D,C,I,0.165,A,A,0.0,A,A,160.0,1058.0,B
C,21.83,1.54,C,B,J,I,0.085,A,A,0.0,B,A,356.0,0.0,B
C,25.25,1.0,C,B,B,I,0.5,A,A,0.0,A,A,200.0,0.0,B
C,58.58,2.71,C,B,C,I,2.415,A,A,0.0,B,A,320.0,0.0,B
C,19.0,0.0,D,D,G,D,0.0,A,B,4.0,A,A,45.0,1.0,B
C,19.58,0.585,C,B,G,D,0.0,A,B,3.0,A,A,350.0,769.0,B
B,53.33,0.165,C,B,G,D,0.0,A,A,0.0,B,C,62.0,27.0,B
B,27.17,1.25,C,B,G,D,0.0,A,B,1.0,A,A,92.0,300.0,B
C,25.92,0.875,C,B,J,I,0.375,A,B,2.0,B,A,174.0,3.0,B
C,23.08,0.0,C,B,J,I,1.0,A,B,11.0,A,C,0.0,0.0,B
C,39.58,5.0,C,B,G,D,0.0,A,B,2.0,A,A,17.0,1.0,B
C,30.58,2.71,D,D,K,I,0.125,A,A,0.0,B,C,80.0,0.0,B
C,17.25,3.0,C,B,J,I,0.04,A,A,0.0,B,A,160.0,40.0,B
B,17.67,0.0,D,D,I,D,0.0,A,A,0.0,A,A,86.0,0.0,B
B,?,11.25,C,B,G,D,0.0,A,A,0.0,A,A,?,5200.0,B
C,16.5,0.125,C,B,C,I,0.165,A,A,0.0,A,A,132.0,0.0,B
B,27.33,1.665,C,B,G,D,0.0,A,A,0.0,A,A,340.0,1.0,B
C,31.25,1.125,C,B,G,D,0.0,A,B,1.0,A,A,96.0,19.0,B
C,20.0,7.0,C,B,C,I,0.5,A,A,0.0,A,A,0.0,0.0,B
C,?,3.0,D,D,H,B,7.0,A,A,0.0,A,A,0.0,1.0,B
C,39.5,1.625,C,B,C,I,1.5,A,A,0.0,A,A,0.0,316.0,B
C,36.5,4.25,C,B,L,I,3.5,A,A,0.0,A,A,454.0,50.0,B
A,29.75,0.665,C,B,N,I,0.25,A,A,0.0,B,A,300.0,0.0,B
C,52.42,1.5,C,B,E,I,3.75,A,A,0.0,B,A,0.0,350.0,B
C,36.17,18.125,C,B,N,I,0.085,A,A,0.0,A,A,320.0,3552.0,B
C,34.58,0.0,A,A,A,A,0.0,A,A,0.0,A,B,?,0.0,B
C,29.67,0.75,D,D,C,I,0.04,A,A,0.0,A,A,240.0,0.0,B
C,36.17,5.5,C,B,H,B,5.0,A,A,0.0,A,A,210.0,687.0,B
C,25.67,0.29,D,D,C,I,1.5,A,A,0.0,B,A,160.0,0.0,B
B,24.5,2.415,D,D,C,I,0.0,A,A,0.0,A,A,120.0,0.0,B
C,24.08,0.875,C,B,K,I,0.085,A,B,4.0,A,A,254.0,1950.0,B
C,21.92,0.5,C,B,C,I,0.125,A,A,0.0,A,A,360.0,0.0,B
B,36.58,0.29,C,B,G,D,0.0,A,B,10.0,A,A,200.0,18.0,B
B,23.0,1.835,C,B,I,F,0.0,A,B,1.0,A,A,200.0,53.0,B
B,27.58,3.0,C,B,K,I,2.79,A,B,1.0,B,A,280.0,10.0,B
C,31.08,3.085,C,B,C,I,2.5,A,B,2.0,B,A,160.0,41.0,B
B,30.42,1.375,C,B,N,E,0.04,A,B,3.0,A,A,0.0,33.0,B
C,22.08,2.335,C,B,J,I,0.75,A,A,0.0,A,A,180.0,0.0,B
C,16.33,4.085,C,B,H,E,0.415,A,A,0.0,B,A,120.0,0.0,B
B,21.92,11.665,C,B,J,E,0.085,A,A,0.0,A,A,320.0,5.0,B
C,21.08,4.125,D,D,H,E,0.04,A,A,0.0,A,A,140.0,100.0,B
C,17.42,6.5,C,B,H,I,0.125,A,A,0.0,A,A,60.0,100.0,B
C,19.17,4.0,D,D,H,I,1.0,A,A,0.0,B,A,360.0,1000.0,B
C,20.67,0.415,C,B,C,I,0.125,A,A,0.0,A,A,0.0,44.0,B
C,26.75,2.0,C,B,E,I,0.75,A,A,0.0,B,A,80.0,0.0,B
C,23.58,0.835,C,B,H,E,0.085,A,A,0.0,B,A,220.0,5.0,B
C,39.17,2.5,D,D,H,E,10.0,A,A,0.0,B,C,200.0,0.0,B
C,22.75,11.5,C,B,H,I,0.415,A,A,0.0,A,A,0.0,0.0,B
A,26.5,2.71,D,D,A,A,0.085,A,A,0.0,A,C,80.0,0.0,B
B,16.92,0.5,C,B,H,I,0.165,A,B,6.0,B,A,240.0,35.0,B
C,23.5,3.165,D,D,J,I,0.415,A,B,1.0,B,A,280.0,80.0,B
B,17.33,9.5,C,B,B,I,1.75,A,B,10.0,B,A,0.0,10.0,B
C,23.75,0.415,D,D,C,I,0.04,A,B,2.0,A,A,128.0,6.0,B
C,34.67,1.08,C,B,K,I,1.165,A,A,0.0,A,C,28.0,0.0,B
C,74.83,19.0,D,D,G,D,0.04,A,B,2.0,A,A,0.0,351.0,B
C,28.17,0.125,D,D,J,I,0.085,A,A,0.0,A,A,216.0,2100.0,B
C,24.5,13.335,D,D,B,I,0.04,A,A,0.0,B,A,120.0,475.0,B
C,18.83,3.54,D,D,G,D,0.0,A,A,0.0,B,A,180.0,1.0,B
A,45.33,1.0,C,B,L,I,0.125,A,A,0.0,B,A,263.0,0.0,B
B,47.25,0.75,C,B,L,E,2.75,B,B,1.0,A,A,333.0,892.0,A
C,24.17,0.875,C,B,L,I,4.625,B,B,2.0,B,A,520.0,2000.0,A
C,39.25,9.5,C,B,K,I,6.5,B,B,14.0,A,A,240.0,4607.0,A
B,20.5,11.835,C,B,C,E,6.0,B,A,0.0,A,A,340.0,0.0,A
B,18.83,4.415,D,D,C,E,3.0,B,A,0.0,A,A,240.0,0.0,A
C,19.17,9.5,C,B,N,I,1.5,B,A,0.0,A,A,120.0,2206.0,A
B,25.0,0.875,C,B,O,E,1.04,B,A,0.0,B,A,160.0,5860.0,A
C,20.17,9.25,C,B,C,I,1.665,B,B,3.0,B,A,40.0,28.0,A
C,25.75,0.5,C,B,C,I,1.46,B,B,5.0,B,A,312.0,0.0,A
C,20.42,7.0,C,B,C,I,1.625,B,B,3.0,A,A,200.0,1391.0,A
C,?,4.0,C,B,O,I,5.0,B,B,3.0,B,A,290.0,2279.0,A
C,39.0,5.0,C,B,D,I,3.5,B,B,10.0,B,A,0.0,0.0,A
B,64.08,0.165,C,B,G,D,0.0,B,B,1.0,A,A,232.0,100.0,A
C,28.25,5.125,C,B,O,I,4.75,B,B,2.0,A,A,420.0,7.0,A
B,28.75,3.75,C,B,C,I,1.085,B,B,1.0,B,A,371.0,0.0,A
C,31.33,19.5,C,B,C,I,7.0,B,B,16.0,A,A,0.0,5000.0,A
B,18.92,9.0,C,B,B,I,0.75,B,B,2.0,A,A,88.0,591.0,A
B,24.75,3.0,C,B,L,E,1.835,B,B,19.0,A,A,0.0,500.0,A
B,30.67,12.0,C,B,C,I,2.0,B,B,1.0,A,A,220.0,19.0,A
C,21.0,4.79,D,D,N,I,2.25,B,B,1.0,B,A,80.0,300.0,A
C,13.75,4.0,D,D,N,I,1.75,B,B,2.0,B,A,120.0,1000.0,A
B,46.0,4.0,C,B,I,F,0.0,B,A,0.0,A,A,100.0,960.0,A
B,44.33,0.0,C,B,C,I,2.5,B,A,0.0,A,A,0.0,0.0,A
C,20.25,9.96,C,B,F,C,0.0,B,A,0.0,A,A,0.0,0.0,A
C,22.67,2.54,D,D,C,E,2.585,B,A,0.0,A,A,0.0,0.0,A
C,?,10.5,C,B,O,I,6.5,B,A,0.0,A,A,0.0,0.0,A
B,60.92,5.0,C,B,B,I,4.0,B,B,4.0,A,A,0.0,99.0,A
C,16.08,0.75,C,B,C,I,1.75,B,B,5.0,B,A,352.0,690.0,A
B,28.17,0.375,C,B,L,I,0.585,B,B,4.0,A,A,80.0,0.0,A
C,39.17,1.71,C,B,O,I,0.125,B,B,5.0,B,A,480.0,0.0,A
A,20.42,7.5,C,B,J,I,1.5,B,B,1.0,A,A,160.0,234.0,A
B,30.0,5.29,C,B,F,C,2.25,B,B,5.0,B,A,99.0,500.0,A
C,22.83,3.0,C,B,K,I,1.29,B,B,1.0,A,A,260.0,800.0,A
B,22.5,8.5,C,B,L,I,1.75,B,B,10.0,A,A,80.0,990.0,B
B,28.58,1.665,C,B,L,I,2.415,B,A,0.0,B,A,440.0,0.0,B
C,45.17,1.5,C,B,C,I,2.5,B,A,0.0,B,A,140.0,0.0,B
C,41.58,1.75,C,B,J,I,0.21,B,A,0.0,A,A,160.0,0.0,B
B,57.08,0.335,C,B,H,B,1.0,B,A,0.0,B,A,252.0,2197.0,B
B,55.75,7.08,C,B,J,E,6.75,B,B,3.0,B,A,100.0,50.0,B
C,43.25,25.21,C,B,L,E,0.21,B,B,1.0,A,A,760.0,90.0,B
B,25.33,2.085,C,B,C,E,2.75,B,A,0.0,B,A,360.0,1.0,B
B,24.58,0.67,C,B,B,E,1.75,B,A,0.0,A,A,400.0,0.0,B
C,43.17,2.25,C,B,H,B,0.75,B,A,0.0,A,A,560.0,0.0,B
C,40.92,0.835,C,B,G,D,0.0,B,A,0.0,A,A,130.0,1.0,B
C,31.83,2.5,C,B,B,I,7.5,B,A,0.0,B,A,523.0,0.0,B
B,33.92,1.585,D,D,G,D,0.0,B,A,0.0,A,A,320.0,0.0,B
B,24.92,1.25,C,B,G,D,0.0,B,A,0.0,A,A,80.0,0.0,B
C,35.25,3.165,C,B,O,E,3.75,B,A,0.0,B,A,680.0,0.0,B
C,34.25,1.75,C,B,N,B,0.25,B,A,0.0,B,A,163.0,0.0,B
C,80.25,5.5,C,B,A,A,0.54,B,A,0.0,A,A,0.0,340.0,B
C,19.42,1.5,D,D,D,I,2.0,B,A,0.0,B,A,100.0,20.0,B
C,42.75,3.0,C,B,H,B,1.0,B,A,0.0,A,A,0.0,200.0,B
C,19.67,10.0,D,D,J,E,0.835,B,A,0.0,B,A,140.0,0.0,B
C,36.33,3.79,C,B,N,I,1.165,B,A,0.0,B,A,200.0,0.0,B
C,30.08,1.04,D,D,H,B,0.5,B,B,10.0,B,A,132.0,28.0,B
C,44.25,11.0,D,D,E,I,1.5,B,A,0.0,A,C,0.0,0.0,B
C,23.58,0.46,D,D,N,I,2.625,B,B,6.0,B,A,208.0,347.0,B
C,23.92,1.5,C,B,E,E,1.875,B,B,6.0,A,A,200.0,327.0,A
C,33.17,1.0,C,B,O,I,0.75,B,B,7.0,B,A,340.0,4071.0,A
C,48.33,12.0,C,B,K,I,16.0,B,A,0.0,A,C,110.0,0.0,A
C,76.75,22.29,C,B,F,J,12.75,B,B,1.0,B,A,0.0,109.0,A
C,51.33,10.0,C,B,H,B,0.0,B,B,11.0,A,A,0.0,1249.0,A
C,34.75,15.0,C,B,M,G,5.375,B,B,9.0,B,A,0.0,134.0,A
C,38.58,3.335,C,B,N,I,4.0,B,B,14.0,A,A,383.0,1344.0,A
B,22.42,11.25,D,D,O,E,0.75,B,B,4.0,A,A,0.0,321.0,A
C,41.92,0.42,C,B,C,E,0.21,B,B,6.0,A,A,220.0,948.0,A
C,29.58,4.5,C,B,N,I,7.5,B,B,2.0,B,A,330.0,0.0,A
B,32.17,1.46,C,B,N,I,1.085,B,B,16.0,A,A,120.0,2079.0,A
C,51.42,0.04,C,B,O,E,0.04,B,A,0.0,A,A,0.0,3000.0,A
B,22.83,2.29,C,B,L,E,2.29,B,B,7.0,B,A,140.0,2384.0,A
B,25.0,12.33,C,B,D,E,3.5,B,B,6.0,A,A,400.0,458.0,A
C,26.75,1.125,C,B,O,E,1.25,B,A,0.0,A,A,0.0,5298.0,A
C,23.33,1.5,C,B,C,E,1.415,B,A,0.0,A,A,422.0,200.0,A
C,24.42,12.335,C,B,L,E,1.585,B,A,0.0,B,A,120.0,0.0,A
C,42.17,5.04,C,B,L,E,12.75,B,A,0.0,B,A,92.0,0.0,A
B,20.83,3.0,C,B,B,I,0.04,B,A,0.0,A,A,100.0,0.0,A
C,23.08,11.5,C,B,N,E,2.125,B,B,11.0,B,A,290.0,284.0,A
B,25.17,2.875,C,B,O,E,0.875,B,A,0.0,A,A,360.0,0.0,A
C,43.08,0.375,D,D,C,I,0.375,B,B,8.0,B,A,300.0,162.0,A
B,35.75,0.915,C,B,B,I,0.75,B,B,4.0,A,A,0.0,1583.0,A
C,59.5,2.75,C,B,N,I,1.75,B,B,5.0,B,A,60.0,58.0,A
C,21.0,3.0,D,D,E,I,1.085,B,B,8.0,B,A,160.0,1.0,A
C,21.92,0.54,D,D,O,I,0.04,B,B,1.0,B,A,840.0,59.0,A
B,65.17,14.0,C,B,G,D,0.0,B,B,11.0,B,A,0.0,1400.0,A
B,20.33,10.0,C,B,C,E,1.0,B,B,4.0,A,A,50.0,1465.0,A
C,32.25,0.165,D,D,C,E,3.25,B,B,1.0,B,A,432.0,8000.0,A
C,30.17,0.5,C,B,C,I,1.75,B,B,11.0,A,A,32.0,540.0,A
C,25.17,6.0,C,B,C,I,1.0,B,B,3.0,A,A,0.0,0.0,A
C,39.17,1.625,C,B,C,I,1.5,B,B,10.0,A,A,186.0,4700.0,A
C,39.08,6.0,C,B,K,I,1.29,B,B,5.0,B,A,108.0,1097.0,A
C,31.67,0.83,C,B,O,I,1.335,B,B,8.0,B,A,303.0,3290.0,A
C,41.0,0.04,C,B,F,I,0.04,A,B,1.0,A,C,560.0,0.0,A
C,48.5,4.25,C,B,K,I,0.125,B,A,0.0,B,A,225.0,0.0,A
C,32.67,9.0,D,D,N,E,5.25,B,A,0.0,B,A,154.0,0.0,A
B,28.08,15.0,D,D,F,J,0.0,B,A,0.0,A,A,0.0,13212.0,A
C,73.42,17.75,C,B,G,D,0.0,B,A,0.0,B,A,0.0,0.0,A
C,64.08,20.0,C,B,O,E,17.5,B,B,9.0,B,A,0.0,1000.0,A
C,51.58,15.0,C,B,C,I,8.5,B,B,9.0,A,A,0.0,0.0,A
C,26.67,1.75,D,D,C,I,1.0,B,B,5.0,B,A,160.0,5777.0,A
C,25.33,0.58,C,B,C,I,0.29,B,B,7.0,B,A,96.0,5124.0,A
C,30.17,6.5,C,B,D,I,3.125,B,B,8.0,A,A,330.0,1200.0,A
C,27.0,0.75,C,B,C,E,4.25,B,B,3.0,B,A,312.0,150.0,A
C,23.17,0.0,A,A,A,A,0.0,A,A,0.0,A,B,?,0.0,A
C,34.17,5.25,C,B,N,I,0.085,A,A,0.0,B,A,290.0,6.0,A
C,38.67,0.21,C,B,J,I,0.085,B,A,0.0,B,A,280.0,0.0,A
C,25.75,0.75,C,B,C,B,0.25,B,A,0.0,A,A,349.0,23.0,A
B,46.08,3.0,C,B,C,I,2.375,B,B,8.0,B,A,396.0,4159.0,A
B,21.5,6.0,C,B,B,I,2.5,B,B,3.0,A,A,80.0,918.0,A
A,20.08,0.125,C,B,L,I,1.0,A,B,1.0,A,A,240.0,768.0,A
C,20.5,2.415,C,B,C,I,2.0,B,B,11.0,B,A,200.0,3000.0,A
B,29.5,0.46,C,B,J,I,0.54,B,B,4.0,A,A,380.0,500.0,A
A,42.25,1.75,D,D,A,A,0.0,A,A,0.0,B,A,150.0,1.0,B
C,29.83,1.25,D,D,J,I,0.25,A,A,0.0,A,A,224.0,0.0,B
C,20.08,0.25,C,B,L,I,0.125,A,A,0.0,A,A,200.0,0.0,B
C,23.42,0.585,C,B,C,E,0.085,B,A,0.0,A,A,180.0,0.0,B
B,29.58,1.75,D,D,J,I,1.25,A,A,0.0,B,A,280.0,0.0,B
C,16.17,0.04,C,B,C,I,0.04,A,A,0.0,A,A,0.0,0.0,A
